size_bucket,transfer_count,bucket_volume
<0.01,34276167,38407.729431000000000000000000
0.01-0.1,4643016,94937.49501600000000000000
0.1-1,1692271,731756.29670500000000000000
1-10,3114217,13918741.71198100000000000000
10-100,9545146,430147718.5403670000000000
100-1000,13778261,5376254256.8771970000000000
1000-10000,10125749,34286721299.4014410000000000
10000-100000,3905586,121816528423.1051220000000000
100000-1000000,1259611,372870098291.776823000000
1000000-10000000,230677,572733507545.561850000000
>=10000000,13094,431306819285.554097000000
