month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2018-01-01,2,2,1945000,1.9450000000000000,2,1,3
2018-04-01,21,21,67742908124,67742.908124000000,16,3,18
2018-05-01,46,46,191196255247,191196.255247000000,46,3,48
2018-06-01,9,9,29945083623,29945.083623000000,7,1,8
2018-07-01,5,5,143304725200,143304.725200000000,3,2,5
2018-08-01,2,2,31838206,31.8382060000000000,2,2,3
2018-09-01,61,61,1848904822171,1848904.822171000000,22,7,25
2018-10-01,57,57,3826646396113,3826646.396113000000,19,6,25
2018-11-01,16,16,397776265671,397776.265671000000,13,6,16
2018-12-01,79,79,1504108325110,1504108.325110000000,5,7,9
2019-01-01,24,24,24068063782,24068.063782000000,10,13,18
2019-02-01,90,60,26203570709,26203.570709000000,13,18,24
2019-03-01,57,52,170880413251,170880.413251000000,15,14,20
2019-04-01,193,176,557818858600,557818.858600000000,33,21,43
2019-05-01,2456,2440,5234394583829,5234394.583829000000,170,87,189
2019-06-01,5716,5684,17383489518008,17383489.518008000000,347,117,387
2019-07-01,5651,5558,18073688100073,18073688.100073000000,394,102,437
2019-08-01,20597,20478,29552882351301,29552882.351301000000,587,149,648
2019-09-01,18597,18475,116783104078747,116783104.0787470000,695,167,778
2019-10-01,14268,13813,154499695052483,154499695.0524830000,1660,256,1798
2019-11-01,12400,11882,280319960794172,280319960.7941720000,1341,244,1480
2019-12-01,13274,12351,293811696877696,293811696.8776960000,1657,380,1858
2020-01-01,14403,13075,376434686402313,376434686.4023130000,1728,435,1951
2020-02-01,26725,24129,481346275806297,481346275.8062970000,2882,637,3147
2020-03-01,42992,36269,980986729457763,980986729.4577630000,3045,902,3526
2020-04-01,48376,42590,968978720290819,968978720.2908190000,3532,884,3912
2020-05-01,51152,45164,848315075792408,848315075.7924080000,5119,2585,5572
2020-06-01,76489,54950,1928375591673686,1928375591.6736860000,7741,4507,8773
2020-07-01,103045,75631,3295067358168814,3295067358.1688140000,7146,3424,8462
2020-08-01,182765,145047,5371414535524693,5371414535.5246930000,7237,3255,8513
2020-09-01,309748,258725,14940496648655701,14940496648.6557010000,7860,4519,9160
2020-10-01,277533,243956,20578428129246450,20578428129.2464500000,11434,4727,12953
2020-11-01,214426,185201,7121946121384851,7121946121.3848510000,12370,5124,14183
2020-12-01,309354,269793,8835595172679426,8835595172.6794260000,12394,5823,14524
2021-01-01,323075,272746,13734507285141512,13734507285.1415120000,13479,5760,15630
2021-02-01,233252,198287,32915648836596558,32915648836.5965580000,13104,4989,15165
2021-03-01,257696,232554,12872791889899631,12872791889.8996310000,43567,6599,46094
2021-04-01,267329,237408,12656868013732999,12656868013.7329990000,43834,11136,48814
2021-05-01,399225,321993,34976719402891598,34976719402.8915980000,45000,9098,48811
2021-06-01,497480,398567,22959112684308790,22959112684.3087900000,88994,12346,92990
2021-07-01,386042,297205,20197521303095564,20197521303.0955640000,31130,8757,34488
2021-08-01,297071,236219,33866987007988959,33866987007.9889590000,18753,7963,22396
2021-09-01,289638,238077,27724014689371545,27724014689.3715450000,35825,7768,39097
2021-10-01,259054,218994,25778651662627962,25778651662.6279620000,48121,7652,51452
2021-11-01,231961,188147,22821307426956115,22821307426.9561150000,27784,6443,30797
2021-12-01,283964,225707,27844953986765270,27844953986.7652700000,50112,6639,52854
2022-01-01,227087,175844,31773069518626804,31773069518.6268040000,38265,5535,40435
2022-02-01,215623,173035,19334671275903862,19334671275.9038620000,45185,5259,47378
2022-03-01,251369,197228,18951385441056409,18951385441.0564090000,41580,6235,44168
2022-04-01,202830,156205,17564632189058066,17564632189.0580660000,15612,5165,17845
2022-05-01,278690,201375,33921026072420092,33921026072.4200920000,17854,5936,20408
2022-06-01,256214,197458,25040474532056018,25040474532.0560180000,12185,5208,14378
2022-07-01,301929,238603,18336396042544684,18336396042.5446840000,13360,5937,15870
2022-08-01,314625,243413,19541870956324699,19541870956.3246990000,12557,7448,16255
2022-09-01,315619,241797,17831551540961138,17831551540.9611380000,14040,8893,18588
2022-10-01,276972,210215,19465744229008981,19465744229.0089810000,13113,9073,18056
2022-11-01,450471,328933,44269762568035818,44269762568.0358180000,16551,11424,22772
2022-12-01,282909,205660,18523927116169846,18523927116.1698460000,14588,10476,20621
2023-01-01,335475,243676,21219983550187769,21219983550.1877690000,14835,10575,20851
2023-02-01,377505,274109,18727955837708144,18727955837.7081440000,14261,10869,20292
2023-03-01,620516,430373,48967679481030959,48967679481.0309590000,19647,13995,26328
2023-04-01,368854,262477,16016064558694072,16016064558.6940720000,18446,12226,24440
2023-05-01,312392,232135,14008393642101607,14008393642.1016070000,30574,12003,35782
2023-06-01,344415,251511,29150804114698710,29150804114.6987100000,32352,10116,37847
2023-07-01,318957,228912,22035927002792053,22035927002.7920530000,15822,9284,20865
2023-08-01,336866,240400,21292537209358225,21292537209.3582250000,19315,10377,24960
2023-09-01,336499,239835,17404743544094117,17404743544.0941170000,17854,10021,23387
2023-10-01,475901,332869,22605822009332851,22605822009.3328510000,20480,12009,27065
2023-11-01,512654,370687,19694777779207800,19694777779.2078000000,22060,13200,29650
2023-12-01,624922,449316,23350034510067720,23350034510.0677200000,41225,14179,48674
2024-01-01,733279,519426,31363926030046400,31363926030.0464000000,63924,16078,71762
2024-02-01,558455,383850,21645086250667546,21645086250.6675460000,40144,14875,47431
2024-03-01,734454,508405,33726158497234304,33726158497.2343040000,52753,16093,60232
2024-04-01,905319,620134,39343467868407857,39343467868.4078570000,50836,15164,57036
2024-05-01,892397,587864,41516130926372414,41516130926.3724140000,41686,13945,47483
2024-06-01,760800,499604,31741981595421932,31741981595.4219320000,33610,12691,39025
2024-07-01,922548,616318,42883156562984735,42883156562.9847350000,29556,13234,35210
2024-08-01,1163532,759457,46406801171699920,46406801171.6999200000,29499,13637,35123
2024-09-01,810548,532085,25819503398649188,25819503398.6491880000,32479,13151,38091
2024-10-01,741867,486920,23768213768411353,23768213768.4113530000,28394,13764,34604
2024-11-01,951088,627584,41051913775830052,41051913775.8300520000,33730,16313,41350
2024-12-01,1051759,686614,46154279038247844,46154279038.2478440000,36752,17663,44660
2025-01-01,1096161,709703,44728258660560186,44728258660.5601860000,34547,16371,41812
2025-02-01,1551949,962803,60308667431424833,60308667431.4248330000,46875,18145,54252
2025-03-01,1794919,1094797,69420683337173864,69420683337.1738640000,38548,19025,46457
2025-04-01,2141538,1137778,71520701652154669,71520701652.1546690000,40681,21801,48124
2025-05-01,1817987,1060831,59280682207160018,59280682207.1600180000,42221,22603,51665
2025-06-01,1591703,944107,55527788924042737,55527788924.0427370000,50370,26268,61104
2025-07-01,2136401,1260714,99371975614131080,99371975614.1310800000,62180,38286,76434
2025-08-01,2762436,1561399,177536667183242927,177536667183.2429270000,70159,41592,86511
2025-09-01,2905214,1593396,185036421087606003,185036421087.6060030000,79092,47265,96951
2025-10-01,3668380,1978705,458413524410293821,458413524410.2938210000,93267,52848,111847
2025-11-01,3639556,1962005,633092552270764123,633092552270.7641230000,91481,52128,110194
2025-12-01,3992438,1969257,246656512054153978,246656512054.1539780000,95193,52873,112614
2026-01-01,4425910,2147610,243055748860564219,243055748860.5642190000,109103,85292,150922
2026-02-01,5221272,2375187,346505635159834489,346505635159.8344890000,119853,171385,239821
2026-03-01,6770988,2678869,727466213676297248,727466213676.2972480000,156605,668623,752723
2026-04-01,6994380,2283190,333218698623221419,333218698623.2214190000,161477,698605,769298
2026-05-01,8143844,2266305,282130690838719977,282130690838.7199770000,156591,1127764,1194487
2026-06-01,9423661,2168914,432492275527239989,432492275527.2399890000,173680,1347954,1422091
