month,newly_adopted_addresses
2018-01-01,3
2018-04-01,18
2018-05-01,38
2018-06-01,6
2018-07-01,5
2018-08-01,3
2018-09-01,20
2018-10-01,18
2018-11-01,8
2018-12-01,6
2019-01-01,13
2019-02-01,14
2019-03-01,8
2019-04-01,31
2019-05-01,161
2019-06-01,296
2019-07-01,315
2019-08-01,454
2019-09-01,523
2019-10-01,1318
2019-11-01,978
2019-12-01,1346
2020-01-01,1359
2020-02-01,2356
2020-03-01,2451
2020-04-01,2652
2020-05-01,4129
2020-06-01,6609
2020-07-01,5004
2020-08-01,5573
2020-09-01,5512
2020-10-01,8251
2020-11-01,8857
2020-12-01,8542
2021-01-01,9318
2021-02-01,8796
2021-03-01,38503
2021-04-01,38210
2021-05-01,36972
2021-06-01,75353
2021-07-01,21537
2021-08-01,12010
2021-09-01,24848
2021-10-01,31494
2021-11-01,14817
2021-12-01,37755
2022-01-01,27829
2022-02-01,33947
2022-03-01,27330
2022-04-01,8134
2022-05-01,9150
2022-06-01,5532
2022-07-01,7004
2022-08-01,7185
2022-09-01,9289
2022-10-01,8377
2022-11-01,10657
2022-12-01,9362
2023-01-01,10027
2023-02-01,9594
2023-03-01,12653
2023-04-01,11558
2023-05-01,19932
2023-06-01,20954
2023-07-01,8900
2023-08-01,11295
2023-09-01,10561
2023-10-01,12357
2023-11-01,13976
2023-12-01,26266
2024-01-01,40606
2024-02-01,20354
2024-03-01,26460
2024-04-01,24555
2024-05-01,17135
2024-06-01,12426
2024-07-01,10769
2024-08-01,11046
2024-09-01,13685
2024-10-01,10588
2024-11-01,14332
2024-12-01,17212
2025-01-01,15361
2025-02-01,25048
2025-03-01,19225
2025-04-01,21829
2025-05-01,20872
2025-06-01,29813
2025-07-01,40819
2025-08-01,44833
2025-09-01,51668
2025-10-01,57059
2025-11-01,54855
2025-12-01,59124
2026-01-01,92056
2026-02-01,162818
2026-03-01,604810
2026-04-01,647388
2026-05-01,1063142
2026-06-01,1160029
