month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2018-01-01,1.9450000000000000,3,3,2,2
2018-04-01,67742.908124000000,18,18,21,21
2018-05-01,191196.255247000000,48,38,46,46
2018-06-01,29945.083623000000,8,6,9,9
2018-07-01,143304.725200000000,5,5,5,5
2018-08-01,31.8382060000000000,3,3,2,2
2018-09-01,1848904.822171000000,25,20,61,61
2018-10-01,3826646.396113000000,25,18,57,57
2018-11-01,397776.265671000000,16,8,16,16
2018-12-01,1504108.325110000000,9,6,79,79
2019-01-01,24068.063782000000,18,13,24,24
2019-02-01,26203.570709000000,24,14,60,90
2019-03-01,170880.413251000000,20,8,52,57
2019-04-01,557818.858600000000,43,31,176,193
2019-05-01,5234394.583829000000,189,161,2440,2456
2019-06-01,17383489.518008000000,387,296,5684,5716
2019-07-01,18073688.100073000000,437,315,5558,5651
2019-08-01,29552882.351301000000,648,454,20478,20597
2019-09-01,116783104.0787470000,778,523,18475,18597
2019-10-01,154499695.0524830000,1798,1318,13813,14268
2019-11-01,280319960.7941720000,1480,978,11882,12400
2019-12-01,293811696.8776960000,1858,1346,12351,13274
2020-01-01,376434686.4023130000,1951,1359,13075,14403
2020-02-01,481346275.8062970000,3147,2356,24129,26725
2020-03-01,980986729.4577630000,3526,2451,36269,42992
2020-04-01,968978720.2908190000,3912,2652,42590,48376
2020-05-01,848315075.7924080000,5572,4129,45164,51152
2020-06-01,1928375591.6736860000,8773,6609,54950,76489
2020-07-01,3295067358.1688140000,8462,5004,75631,103045
2020-08-01,5371414535.5246930000,8513,5573,145047,182765
2020-09-01,14940496648.6557010000,9160,5512,258725,309748
2020-10-01,20578428129.2464500000,12953,8251,243956,277533
2020-11-01,7121946121.3848510000,14183,8857,185201,214426
2020-12-01,8835595172.6794260000,14524,8542,269793,309354
2021-01-01,13734507285.1415120000,15630,9318,272746,323075
2021-02-01,32915648836.5965580000,15165,8796,198287,233252
2021-03-01,12872791889.8996310000,46094,38503,232554,257696
2021-04-01,12656868013.7329990000,48814,38210,237408,267329
2021-05-01,34976719402.8915980000,48811,36972,321993,399225
2021-06-01,22959112684.3087900000,92990,75353,398567,497480
2021-07-01,20197521303.0955640000,34488,21537,297205,386042
2021-08-01,33866987007.9889590000,22396,12010,236219,297071
2021-09-01,27724014689.3715450000,39097,24848,238077,289638
2021-10-01,25778651662.6279620000,51452,31494,218994,259054
2021-11-01,22821307426.9561150000,30797,14817,188147,231961
2021-12-01,27844953986.7652700000,52854,37755,225707,283964
2022-01-01,31773069518.6268040000,40435,27829,175844,227087
2022-02-01,19334671275.9038620000,47378,33947,173035,215623
2022-03-01,18951385441.0564090000,44168,27330,197228,251369
2022-04-01,17564632189.0580660000,17845,8134,156205,202830
2022-05-01,33921026072.4200920000,20408,9150,201375,278690
2022-06-01,25040474532.0560180000,14378,5532,197458,256214
2022-07-01,18336396042.5446840000,15870,7004,238603,301929
2022-08-01,19541870956.3246990000,16255,7185,243413,314625
2022-09-01,17831551540.9611380000,18588,9289,241797,315619
2022-10-01,19465744229.0089810000,18056,8377,210215,276972
2022-11-01,44269762568.0358180000,22772,10657,328933,450471
2022-12-01,18523927116.1698460000,20621,9362,205660,282909
2023-01-01,21219983550.1877690000,20851,10027,243676,335475
2023-02-01,18727955837.7081440000,20292,9594,274109,377505
2023-03-01,48967679481.0309590000,26328,12653,430373,620516
2023-04-01,16016064558.6940720000,24440,11558,262477,368854
2023-05-01,14008393642.1016070000,35782,19932,232135,312392
2023-06-01,29150804114.6987100000,37847,20954,251511,344415
2023-07-01,22035927002.7920530000,20865,8900,228912,318957
2023-08-01,21292537209.3582250000,24960,11295,240400,336866
2023-09-01,17404743544.0941170000,23387,10561,239835,336499
2023-10-01,22605822009.3328510000,27065,12357,332869,475901
2023-11-01,19694777779.2078000000,29650,13976,370687,512654
2023-12-01,23350034510.0677200000,48674,26266,449316,624922
2024-01-01,31363926030.0464000000,71762,40606,519426,733279
2024-02-01,21645086250.6675460000,47431,20354,383850,558455
2024-03-01,33726158497.2343040000,60232,26460,508405,734454
2024-04-01,39343467868.4078570000,57036,24555,620134,905319
2024-05-01,41516130926.3724140000,47483,17135,587864,892397
2024-06-01,31741981595.4219320000,39025,12426,499604,760800
2024-07-01,42883156562.9847350000,35210,10769,616318,922548
2024-08-01,46406801171.6999200000,35123,11046,759457,1163532
2024-09-01,25819503398.6491880000,38091,13685,532085,810548
2024-10-01,23768213768.4113530000,34604,10588,486920,741867
2024-11-01,41051913775.8300520000,41350,14332,627584,951088
2024-12-01,46154279038.2478440000,44660,17212,686614,1051759
2025-01-01,44728258660.5601860000,41812,15361,709703,1096161
2025-02-01,60308667431.4248330000,54252,25048,962803,1551949
2025-03-01,69420683337.1738640000,46457,19225,1094797,1794919
2025-04-01,71520701652.1546690000,48124,21829,1137778,2141538
2025-05-01,59280682207.1600180000,51665,20872,1060831,1817987
2025-06-01,55527788924.0427370000,61104,29813,944107,1591703
2025-07-01,99371975614.1310800000,76434,40819,1260714,2136401
