month,size_bucket,transfer_count,bucket_volume
2018-01-01,0.1-1,2,1.94500000000000000000
2018-04-01,<0.01,1,0.00096400000000000000
2018-04-01,1-10,1,6.5000000000000000
2018-04-01,10-100,3,126.6812600000000000
2018-04-01,100-1000,3,559.9000000000000000
2018-04-01,1000-10000,10,31436.0500000000000000
2018-04-01,10000-100000,3,35613.775900000000
2018-05-01,1-10,1,2.1000000000000000
2018-05-01,10-100,3,201.6401000000000000
2018-05-01,100-1000,15,7959.6060200000000000
2018-05-01,1000-10000,22,79358.0391270000000000
2018-05-01,10000-100000,5,103674.870000000000
2018-06-01,100-1000,1,923.8608000000000000
2018-06-01,1000-10000,8,29021.2228230000000000
2018-07-01,1000-10000,3,18307.2532000000000000
2018-07-01,10000-100000,2,124997.472000000000
2018-08-01,1-10,1,5.0000000000000000
2018-08-01,10-100,1,26.8382060000000000
2018-09-01,0.01-0.1,5,0.06600000000000000000
2018-09-01,0.1-1,3,0.33500000000000000000
2018-09-01,1-10,3,6.49351000000000000000
2018-09-01,10-100,4,240.8271000000000000
2018-09-01,100-1000,5,2700.6763180000000000
2018-09-01,1000-10000,11,46551.9488760000000000
2018-09-01,10000-100000,28,1349405.488347000000
2018-09-01,100000-1000000,2,449998.987020000000
2018-10-01,0.01-0.1,1,0.08600000000000000000
2018-10-01,1-10,1,4.6127100000000000
2018-10-01,10-100,15,784.4931870000000000
2018-10-01,100-1000,10,3117.2393300000000000
2018-10-01,1000-10000,19,100024.2235400000000000
2018-10-01,10000-100000,8,184715.741346000000
2018-10-01,100000-1000000,1,500000.000000000000
2018-10-01,1000000-10000000,2,3038000.000000000000
2018-11-01,1-10,1,5.0000000000000000
2018-11-01,100-1000,3,2534.5855840000000000
2018-11-01,1000-10000,9,40302.0969000000000000
2018-11-01,10000-100000,2,78221.583187000000
2018-11-01,100000-1000000,1,276713.000000000000
2018-12-01,0.01-0.1,1,0.06297100000000000000
2018-12-01,10-100,3,103.7738380000000000
2018-12-01,100-1000,4,2261.4388330000000000
2018-12-01,1000-10000,13,55712.5961300000000000
2018-12-01,10000-100000,58,1446030.453338000000
2019-01-01,0.01-0.1,1,0.01000000000000000000
2019-01-01,0.1-1,2,1.99672000000000000000
2019-01-01,1-10,5,5.72918900000000000000
2019-01-01,10-100,6,357.6044470000000000
2019-01-01,100-1000,5,3155.6359700000000000
2019-01-01,1000-10000,4,20547.0874560000000000
2019-02-01,0.01-0.1,1,0.03556300000000000000
2019-02-01,10-100,39,1684.7092850000000000
2019-02-01,100-1000,45,18172.5854440000000000
2019-02-01,1000-10000,5,6346.2404170000000000
2019-03-01,0.01-0.1,1,0.03556300000000000000
2019-03-01,1-10,1,9.0000000000000000
2019-03-01,10-100,22,968.9670760000000000
2019-03-01,100-1000,13,3871.5851430000000000
2019-03-01,1000-10000,16,54910.2704690000000000
2019-03-01,10000-100000,3,111120.555000000000
2019-04-01,0.01-0.1,41,0.64720000000000000000
2019-04-01,0.1-1,20,4.22230000000000000000
2019-04-01,1-10,7,14.80738400000000000000
2019-04-01,10-100,58,1866.1468500000000000
2019-04-01,100-1000,44,16604.1385230000000000
2019-04-01,1000-10000,15,45231.9064030000000000
2019-04-01,10000-100000,6,170640.992640000000
2019-04-01,100000-1000000,2,323455.997300000000
2019-05-01,0.01-0.1,5,0.19019900000000000000
2019-05-01,0.1-1,14,4.42015000000000000000
2019-05-01,1-10,37,184.63164900000000000000
2019-05-01,10-100,583,30266.9237650000000000
2019-05-01,100-1000,950,353842.8757010000000000
2019-05-01,1000-10000,838,2922086.9808870000000000
2019-05-01,10000-100000,17,422726.3009280000000000
2019-05-01,100000-1000000,8,1505282.260550000000
2019-06-01,0.1-1,5,1.71742100000000000000
2019-06-01,1-10,36,112.21633300000000000000
2019-06-01,10-100,912,45119.0918470000000000
2019-06-01,100-1000,2238,876240.5315280000000000
2019-06-01,1000-10000,2400,10789367.8166670000000000
2019-06-01,10000-100000,115,3058023.7060120000000000
2019-06-01,100000-1000000,9,2614624.438200000000
2019-07-01,<0.01,5,0.024791000000000000000000
2019-07-01,0.01-0.1,6,0.06000000000000000000
2019-07-01,0.1-1,58,31.14410000000000000000
2019-07-01,1-10,228,736.98847800000000000000
2019-07-01,10-100,750,32119.2023190000000000
2019-07-01,100-1000,1653,680610.0069950000000000
2019-07-01,1000-10000,2720,7962876.1975440000000000
2019-07-01,10000-100000,213,4090480.5951210000000000
2019-07-01,100000-1000000,13,2106833.880725000000
2019-07-01,1000000-10000000,2,3200000.000000000000
2019-08-01,<0.01,16,0.015226000000000000000000
2019-08-01,0.01-0.1,14,0.37228500000000000000
2019-08-01,0.1-1,88,44.50304000000000000000
2019-08-01,1-10,600,2657.52017700000000000000
2019-08-01,10-100,9780,400358.3231940000000000
2019-08-01,100-1000,7432,2063937.1735200000000000
2019-08-01,1000-10000,2145,6442605.9096790000000000
2019-08-01,10000-100000,485,8166818.6992540000000000
2019-08-01,100000-1000000,32,7059036.794926000000
2019-08-01,1000000-10000000,2,5417423.040000000000
2019-09-01,<0.01,2,0.000003000000000000000000
2019-09-01,0.01-0.1,2,0.02000000000000000000
2019-09-01,0.1-1,27,11.26593000000000000000
2019-09-01,1-10,112,411.81847300000000000000
2019-09-01,10-100,6457,290989.6198260000000000
2019-09-01,100-1000,8683,2402231.6626510000000000
2019-09-01,1000-10000,2642,8239727.9582700000000000
2019-09-01,10000-100000,507,10262469.7646150000000000
2019-09-01,100000-1000000,126,43099870.668970000000
2019-09-01,1000000-10000000,38,52487391.300009000000
2019-10-01,<0.01,18,0.046048000000000000000000
2019-10-01,0.01-0.1,159,3.06893800000000000000
2019-10-01,0.1-1,144,73.61789700000000000000
2019-10-01,1-10,310,1179.32676200000000000000
2019-10-01,10-100,2554,112353.0678780000000000
2019-10-01,100-1000,6675,2100417.0752590000000000
2019-10-01,1000-10000,3453,11549887.6731390000000000
2019-10-01,10000-100000,718,15457304.4524150000000000
2019-10-01,100000-1000000,201,79846827.123153000000
2019-10-01,1000000-10000000,35,45431649.600994000000
2019-11-01,<0.01,15,0.02551900000000000000
2019-11-01,0.01-0.1,43,1.03344500000000000000
2019-11-01,0.1-1,85,39.40892200000000000000
2019-11-01,1-10,493,2956.67870600000000000000
2019-11-01,10-100,2677,113761.0732940000000000
2019-11-01,100-1000,5387,1741159.8459820000000000
2019-11-01,1000-10000,2563,7666757.5674250000000000
2019-11-01,10000-100000,732,17811145.4868650000000000
2019-11-01,100000-1000000,326,118601698.984014000000
2019-11-01,1000000-10000000,75,124382440.690000000000
2019-11-01,>=10000000,1,10000000.000000000000
2019-12-01,<0.01,18,0.018933000000000000000000
2019-12-01,0.01-0.1,29,1.41187400000000000000
2019-12-01,0.1-1,107,48.33726000000000000000
2019-12-01,1-10,1100,5259.51221500000000000000
2019-12-01,10-100,2323,104010.3726310000000000
2019-12-01,100-1000,6106,2081114.1549830000000000
2019-12-01,1000-10000,2366,7156910.5376120000000000
2019-12-01,10000-100000,836,19208787.1690610000000000
2019-12-01,100000-1000000,295,119758565.769173000000
2019-12-01,1000000-10000000,93,145496999.593954000000
2020-01-01,<0.01,49,0.098829000000000000000000
2020-01-01,0.01-0.1,45,1.64497700000000000000
2020-01-01,0.1-1,234,120.35412700000000000000
