size_bucket,transfer_count,bucket_volume
<0.01,15626118,14921.105789000000000000000000
0.01-0.1,1168351,60554.41272300000000000000
0.1-1,2368299,1024608.13574900000000000000
1-10,5175376,24150796.07983300000000000000
10-100,12549911,565757200.1844770000000000
100-1000,22068497,9100510104.1543530000000000
1000-10000,21001915,75118771062.1476820000000000
10000-100000,10321156,340062866955.2059040000000000
100000-1000000,3139379,877219024408.022890000000
1000000-10000000,505714,1272747274383.074275000000
>=10000000,68588,3290375012906.762734000000
