month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2018-11-01,16,11,9057724,0.09057724000000000000,5,6,6
2019-01-01,368,252,8383835667,83.8383566700000000,52,135,138
2019-02-01,1222,676,10382472194,103.8247219400000000,167,249,265
2019-03-01,1890,1043,26740766674,267.4076667400000000,227,306,328
2019-04-01,3417,1600,39983245679,399.8324567900000000,230,293,325
2019-05-01,4916,2468,118268010132,1182.6801013200000000,322,382,429
2019-06-01,5949,2516,90793057721,907.9305772100000000,326,443,477
2019-07-01,10289,4398,245553086733,2455.5308673300000000,571,638,730
2019-08-01,11187,5256,140960941394,1409.6094139400000000,604,679,753
2019-09-01,7837,4223,177129960955,1771.2996095500000000,546,606,690
2019-10-01,8260,3957,142687962841,1426.8796284100000000,550,616,682
2019-11-01,8012,3724,156279581133,1562.7958113300000000,546,585,663
2019-12-01,7802,3403,148427030605,1484.2703060500000000,500,502,601
2020-01-01,15191,6237,493511289453,4935.1128945300000000,710,742,845
2020-02-01,20480,8960,1017558199485,10175.5819948500000000,973,1083,1193
2020-03-01,20608,9283,946747105794,9467.4710579400000000,1063,1162,1284
2020-04-01,33209,26673,6295539886650,62955.398866500000,949,1046,1152
2020-05-01,34472,23838,5897394146249,58973.941462490000,1758,2035,2187
2020-06-01,40248,24672,14864370298494,148643.702984940000,4028,4152,4417
2020-07-01,39476,22364,18787950590295,187879.505902950000,3523,3811,4031
2020-08-01,58985,35292,31574860439961,315748.604399610000,4798,5160,5483
2020-09-01,110284,78680,104190179748629,1041901.797486290000,13032,13795,14191
2020-10-01,118505,86482,68532661286601,685326.612866010000,14515,16419,17134
2020-11-01,155381,109879,56572540309103,565725.403091030000,18720,21102,22546
2020-12-01,177338,128778,47377033945641,473770.339456410000,21161,23535,26029
2021-01-01,255250,188298,72198490017470,721984.900174700000,25216,27457,30237
2021-02-01,203293,155679,66257201491480,662572.014914800000,22550,24012,26395
2021-03-01,148346,113543,76443196253406,764431.962534060000,19975,21227,23509
2021-04-01,153512,117541,62758949363452,627589.493634520000,23017,21822,26976
2021-05-01,236539,167985,127511731833372,1275117.318333720000,22710,24318,27099
2021-06-01,260872,175165,103828973639727,1038289.736397270000,20553,21751,24229
2021-07-01,210707,142568,84943395489707,849433.954897070000,16385,18048,20049
2021-08-01,162901,108931,52929976524140,529299.765241400000,15351,16700,19161
2021-09-01,125761,89117,70761588191569,707615.881915690000,13394,14407,16388
2021-10-01,142833,105249,85218242660031,852182.426600310000,16953,19813,21908
2021-11-01,95941,69594,68857506136637,688575.061366370000,13108,14183,16607
2021-12-01,87702,62705,69229279290704,692292.792907040000,11742,11967,14367
2022-01-01,86118,63273,81754427917619,817544.279176190000,11183,10655,13143
2022-02-01,76109,54898,54068317372622,540683.173726220000,8252,8757,10251
2022-03-01,98663,72967,59137546763339,591375.467633390000,10076,10780,12660
2022-04-01,80878,61027,46434148540316,464341.485403160000,8631,9226,10775
2022-05-01,142776,108187,143292057472427,1432920.574724270000,11746,13553,15324
2022-06-01,169499,127906,213785178412547,2137851.784125470000,11677,13528,15425
2022-07-01,167162,124885,120914246362540,1209142.463625400000,9763,11198,12996
2022-08-01,135227,99779,70240219479352,702402.194793520000,10047,11013,12992
2022-09-01,159167,116238,82845862397363,828458.623973630000,11121,12324,14102
2022-10-01,114757,85944,46533115324879,465331.153248790000,9748,11520,13065
