month,newly_adopted_addresses
2018-11-01,6
2019-01-01,135
2019-02-01,208
2019-03-01,241
2019-04-01,205
2019-05-01,244
2019-06-01,270
2019-07-01,411
2019-08-01,412
2019-09-01,302
2019-10-01,317
2019-11-01,276
2019-12-01,252
2020-01-01,397
2020-02-01,636
2020-03-01,697
2020-04-01,589
2020-05-01,1406
2020-06-01,3231
2020-07-01,2064
2020-08-01,3505
2020-09-01,11088
2020-10-01,10595
2020-11-01,12490
2020-12-01,14653
2021-01-01,16618
2021-02-01,13956
2021-03-01,11948
2021-04-01,11464
2021-05-01,12691
2021-06-01,11438
2021-07-01,8646
2021-08-01,7852
2021-09-01,6549
2021-10-01,10934
2021-11-01,7209
2021-12-01,5641
2022-01-01,4867
2022-02-01,3885
2022-03-01,5354
2022-04-01,4289
2022-05-01,6507
2022-06-01,6199
2022-07-01,5238
2022-08-01,5466
2022-09-01,6371
2022-10-01,6314
2022-11-01,10087
2022-12-01,8914
2023-01-01,8695
2023-02-01,7491
2023-03-01,10941
2023-04-01,6173
2023-05-01,4304
2023-06-01,6338
2023-07-01,5674
2023-08-01,5246
2023-09-01,4536
2023-10-01,10079
2023-11-01,7031
2023-12-01,7663
2024-01-01,9797
2024-02-01,9532
2024-03-01,11316
2024-04-01,21276
2024-05-01,17997
2024-06-01,12805
2024-07-01,11738
2024-08-01,19977
2024-09-01,16961
2024-10-01,10357
2024-11-01,13058
2024-12-01,16273
2025-01-01,17180
2025-02-01,18361
2025-03-01,14667
2025-04-01,17432
2025-05-01,24956
2025-06-01,17224
2025-07-01,15578
2025-08-01,15266
2025-09-01,15453
2025-10-01,23983
2025-11-01,16591
2025-12-01,14894
2026-01-01,25412
2026-02-01,25062
2026-03-01,19870
2026-04-01,13481
2026-05-01,11511
2026-06-01,16536
