month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2018-11-01,0.09057724000000000000,6,6,11,16
2019-01-01,83.8383566700000000,138,135,252,368
2019-02-01,103.8247219400000000,265,208,676,1222
2019-03-01,267.4076667400000000,328,241,1043,1890
2019-04-01,399.8324567900000000,325,205,1600,3417
2019-05-01,1182.6801013200000000,429,244,2468,4916
2019-06-01,907.9305772100000000,477,270,2516,5949
2019-07-01,2455.5308673300000000,730,411,4398,10289
2019-08-01,1409.6094139400000000,753,412,5256,11187
2019-09-01,1771.2996095500000000,690,302,4223,7837
2019-10-01,1426.8796284100000000,682,317,3957,8260
2019-11-01,1562.7958113300000000,663,276,3724,8012
2019-12-01,1484.2703060500000000,601,252,3403,7802
2020-01-01,4935.1128945300000000,845,397,6237,15191
2020-02-01,10175.5819948500000000,1193,636,8960,20480
2020-03-01,9467.4710579400000000,1284,697,9283,20608
2020-04-01,62955.398866500000,1152,589,26673,33209
2020-05-01,58973.941462490000,2187,1406,23838,34472
2020-06-01,148643.702984940000,4417,3231,24672,40248
2020-07-01,187879.505902950000,4031,2064,22364,39476
2020-08-01,315748.604399610000,5483,3505,35292,58985
2020-09-01,1041901.797486290000,14191,11088,78680,110284
2020-10-01,685326.612866010000,17134,10595,86482,118505
2020-11-01,565725.403091030000,22546,12490,109879,155381
2020-12-01,473770.339456410000,26029,14653,128778,177338
2021-01-01,721984.900174700000,30237,16618,188298,255250
2021-02-01,662572.014914800000,26395,13956,155679,203293
2021-03-01,764431.962534060000,23509,11948,113543,148346
2021-04-01,627589.493634520000,26976,11464,117541,153512
2021-05-01,1275117.318333720000,27099,12691,167985,236539
2021-06-01,1038289.736397270000,24229,11438,175165,260872
2021-07-01,849433.954897070000,20049,8646,142568,210707
2021-08-01,529299.765241400000,19161,7852,108931,162901
2021-09-01,707615.881915690000,16388,6549,89117,125761
2021-10-01,852182.426600310000,21908,10934,105249,142833
2021-11-01,688575.061366370000,16607,7209,69594,95941
2021-12-01,692292.792907040000,14367,5641,62705,87702
2022-01-01,817544.279176190000,13143,4867,63273,86118
2022-02-01,540683.173726220000,10251,3885,54898,76109
2022-03-01,591375.467633390000,12660,5354,72967,98663
2022-04-01,464341.485403160000,10775,4289,61027,80878
2022-05-01,1432920.574724270000,15324,6507,108187,142776
2022-06-01,2137851.784125470000,15425,6199,127906,169499
2022-07-01,1209142.463625400000,12996,5238,124885,167162
2022-08-01,702402.194793520000,12992,5466,99779,135227
2022-09-01,828458.623973630000,14102,6371,116238,159167
2022-10-01,465331.153248790000,13065,6314,85944,114757
2022-11-01,1055987.516577320000,21731,10087,137581,192150
2022-12-01,407192.798392220000,16395,8914,73937,101054
2023-01-01,351473.603760070000,17526,8695,100452,139999
2023-02-01,356972.586814370000,14819,7491,75016,100971
2023-03-01,643974.928316430000,21124,10941,116448,164493
2023-04-01,393603.372984240000,14537,6173,73640,101539
2023-05-01,188717.411505760000,10520,4304,45814,62603
2023-06-01,299839.916919760000,14310,6338,68712,96743
2023-07-01,220690.656286020000,13109,5674,51683,74083
2023-08-01,227114.849789990000,12613,5246,60968,87441
2023-09-01,205365.594217350000,11015,4536,57780,76795
2023-10-01,696670.839504440000,19169,10079,123574,193041
2023-11-01,487977.696823690000,16959,7031,98833,143496
2023-12-01,280606.248098690000,18390,7663,87764,126513
2024-01-01,399067.316875720000,21230,9797,128587,189786
2024-02-01,279717.884325080000,20179,9532,96447,137792
2024-03-01,329291.244733980000,23998,11316,116025,163007
2024-04-01,293699.759943710000,33189,21276,139895,201058
2024-05-01,340500.032197080000,36815,17997,158146,222489
2024-06-01,537964.812625500000,25581,12805,99767,145869
2024-07-01,385467.244922820000,28112,11738,163721,234220
2024-08-01,553861.972634050000,35519,19977,340203,478807
2024-09-01,286703.644314470000,29100,16961,182696,287903
2024-10-01,300486.331762710000,22838,10357,137775,227723
2024-11-01,411954.565225350000,30105,13058,195521,293652
2024-12-01,437513.338467360000,33231,16273,188346,272807
2025-01-01,421885.965958240000,33206,17180,213697,320169
2025-02-01,572509.930339030000,37766,18361,325469,494610
2025-03-01,599018.648681550000,31541,14667,351484,540288
2025-04-01,691305.449122530000,36476,17432,352786,583885
2025-05-01,439578.929100970000,47006,24956,317610,512843
2025-06-01,345226.600836150000,33342,17224,256985,420887
2025-07-01,428249.910882910000,33892,15578,279570,484860
2025-08-01,1820412.541662820000,32757,15266,331449,588577
2025-09-01,1893900.819047830000,31414,15453,272045,483927
2025-10-01,11377191.119974230000,44435,23983,446579,828531
2025-11-01,15947876.556105230000,36927,16591,502556,1019121
2025-12-01,26163957.168410260000,33126,14894,473308,1062553
2026-01-01,23606510.378998650000,42754,25412,479829,1000757
2026-02-01,15448047.845815360000,45151,25062,664420,1385508
2026-03-01,10007621.912551850000,36585,19870,615736,1619488
2026-04-01,8412240.170042490000,30962,13481,408957,3588262
2026-05-01,10725343.897943900000,27367,11511,343799,694485
2026-06-01,11063276.221295160000,34053,16536,395032,803555
