month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2019-01-01,32,32,2115392172,21.1539217200000000,14,24,32
2019-02-01,157,121,3044047596,30.4404759600000000,40,54,74
2019-03-01,370,251,6309162472,63.0916247200000000,89,85,154
2019-04-01,156,121,7804899641,78.0489964100000000,38,49,75
2019-05-01,140,137,18869713799,188.6971379900000000,70,65,103
2019-06-01,319,188,6446786834,64.4678683400000000,43,53,72
2019-07-01,269,215,20257800090,202.5780009000000000,68,95,129
2019-08-01,310,277,6949933612,69.4993361200000000,97,97,138
2019-09-01,267,259,11629595725,116.2959572500000000,74,79,119
2019-10-01,186,186,7474803834,74.7480383400000000,80,82,123
2019-11-01,136,136,14598416102,145.9841610200000000,71,70,121
2019-12-01,120,120,11995013694,119.9501369400000000,49,51,87
2020-01-01,268,268,36996923569,369.9692356900000000,84,91,141
2020-02-01,277,277,57371156585,573.7115658500000000,91,94,150
2020-03-01,356,356,106186873211,1061.8687321100000000,173,97,238
2020-04-01,302,302,91647936817,916.4793681700000000,100,105,158
2020-05-01,495,494,328454036853,3284.5403685300000000,185,177,295
2020-06-01,882,879,1927982120419,19279.8212041900000000,458,457,688
2020-07-01,768,768,1205070155610,12050.7015561000000000,363,374,591
2020-08-01,1828,1828,6877307763758,68773.077637580000,631,681,1006
2020-09-01,8800,8799,24833554944618,248335.549446180000,2626,3982,4915
2020-10-01,9273,9273,15049959441668,150499.594416680000,4393,5064,6691
2020-11-01,12590,12584,11009999634072,110099.996340720000,6802,7249,9712
2020-12-01,14270,14254,8680803908674,86808.039086740000,7844,7616,11191
2021-01-01,22124,22117,11105025777738,111050.257777380000,10071,10529,14329
2021-02-01,22290,22288,11237139546242,112371.395462420000,10137,10608,14166
2021-03-01,19154,19125,13824242179790,138242.421797900000,9053,9633,12682
2021-04-01,23011,22985,14735048207006,147350.482070060000,11819,9424,15484
2021-05-01,26701,26647,21729503144643,217295.031446430000,9476,9968,13896
2021-06-01,19449,19357,16864026637574,168640.266375740000,6735,7867,10868
2021-07-01,14869,14721,12216253473236,122162.534732360000,5294,6167,8558
2021-08-01,14551,14535,6888269028013,68882.690280130000,5999,5786,8768
2021-09-01,13863,13807,9674294783268,96742.947832680000,5456,5495,7932
2021-10-01,21786,21756,24093792096470,240937.920964700000,7556,7761,11028
2021-11-01,16673,16656,19155888235863,191558.882358630000,6036,6486,9033
2021-12-01,13462,13454,14201913905283,142019.139052830000,5356,5136,7663
2022-01-01,15456,15450,23077150435339,230771.504353390000,5633,5221,7735
2022-02-01,10516,10513,9583571038764,95835.710387640000,3716,3903,5425
2022-03-01,12249,12245,13634564821161,136345.648211610000,4581,4670,6613
2022-04-01,11265,11258,10319678846341,103196.788463410000,3729,4049,5602
2022-05-01,16213,16211,25427069565700,254270.695657000000,5160,5631,7741
2022-06-01,14346,14331,23984938757603,239849.387576030000,5055,5299,7467
2022-07-01,10498,10496,32585123035445,325851.230354450000,3778,3908,5667
2022-08-01,10138,10135,14066471422580,140664.714225800000,3790,4024,5743
2022-09-01,10423,10417,21241750388784,212417.503887840000,3876,4212,6026
2022-10-01,8398,8394,7473220400705,74732.204007050000,3127,3504,5003
2022-11-01,17458,17354,19217606652588,192176.066525880000,6812,7066,10083
2022-12-01,12396,12195,11145598429936,111455.984299360000,4253,6350,7855
2023-01-01,11711,11130,4935181920112,49351.819201120000,4373,5988,7954
2023-02-01,9516,9404,11578091102456,115780.911024560000,3286,4885,6647
2023-03-01,12612,12596,7449360416898,74493.604168980000,5152,5870,8462
2023-04-01,8975,8957,5900440041577,59004.400415770000,3804,4209,6119
2023-05-01,5889,5881,2723424179904,27234.241799040000,2746,3022,4527
2023-06-01,8399,8358,4751025263683,47510.252636830000,3460,3978,5918
2023-07-01,7190,7150,3859509962211,38595.099622110000,3143,3581,5339
2023-08-01,7248,7220,4934130361932,49341.303619320000,2795,3536,5047
2023-09-01,6146,6127,2122797930314,21227.979303140000,2401,3058,4396
2023-10-01,10715,10672,3494117119395,34941.171193950000,4095,5065,7322
2023-11-01,10844,10810,6287409164990,62874.091649900000,4294,4898,7318
2023-12-01,12421,12405,5569097857258,55690.978572580000,5239,5672,8514
2024-01-01,13544,13486,6614413670012,66144.136700120000,5214,5944,8802
2024-02-01,14404,14344,5819411470943,58194.114709430000,5670,6609,9719
2024-03-01,17503,17449,5660062839057,56600.628390570000,7218,8089,12064
2024-04-01,22071,21869,4941184245934,49411.842459340000,6606,12653,16214
2024-05-01,23923,23878,5589272949431,55892.729494310000,10889,11890,18509
2024-06-01,15205,15150,3493652252952,34936.522529520000,6494,6836,10879
2024-07-01,22023,21905,6389680076930,63896.800769300000,11035,8121,15979
2024-08-01,29178,27888,7794666577366,77946.665773660000,10968,13706,17857
2024-09-01,23351,21934,3721145501839,37211.455018390000,7189,10933,13411
2024-10-01,17589,16517,4764145434648,47641.454346480000,6207,7460,10669
2024-11-01,23692,23082,6440089050170,64400.890501700000,9899,9687,14770
2024-12-01,25163,24958,8001942522149,80019.425221490000,9802,12717,17657
2025-01-01,23951,23638,5254846466873,52548.464668730000,9692,11782,16768
2025-02-01,30605,30371,7055773847331,70557.738473310000,14917,12395,20254
2025-03-01,26310,24745,4663889939809,46638.899398090000,9006,10041,14530
