month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2019-01-01,21.1539217200000000,32,32,32,32
2019-02-01,30.4404759600000000,74,63,121,157
2019-03-01,63.0916247200000000,154,133,251,370
2019-04-01,78.0489964100000000,75,56,121,156
2019-05-01,188.6971379900000000,103,76,137,140
2019-06-01,64.4678683400000000,72,52,188,319
2019-07-01,202.5780009000000000,129,91,215,269
2019-08-01,69.4993361200000000,138,112,277,310
2019-09-01,116.2959572500000000,119,77,259,267
2019-10-01,74.7480383400000000,123,89,186,186
2019-11-01,145.9841610200000000,121,83,136,136
2019-12-01,119.9501369400000000,87,53,120,120
2020-01-01,369.9692356900000000,141,90,268,268
2020-02-01,573.7115658500000000,150,106,277,277
2020-03-01,1061.8687321100000000,238,194,356,356
2020-04-01,916.4793681700000000,158,109,302,302
2020-05-01,3284.5403685300000000,295,234,494,495
2020-06-01,19279.8212041900000000,688,588,879,882
2020-07-01,12050.7015561000000000,591,433,768,768
2020-08-01,68773.077637580000,1006,859,1828,1828
2020-09-01,248335.549446180000,4915,4524,8799,8800
2020-10-01,150499.594416680000,6691,5320,9273,9273
2020-11-01,110099.996340720000,9712,7604,12584,12590
2020-12-01,86808.039086740000,11191,7957,14254,14270
2021-01-01,111050.257777380000,14329,10534,22117,22124
2021-02-01,112371.395462420000,14166,10238,22288,22290
2021-03-01,138242.421797900000,12682,8853,19125,19154
2021-04-01,147350.482070060000,15484,8588,22985,23011
2021-05-01,217295.031446430000,13896,9040,26647,26701
2021-06-01,168640.266375740000,10868,6957,19357,19449
2021-07-01,122162.534732360000,8558,5202,14721,14869
2021-08-01,68882.690280130000,8768,5205,14535,14551
2021-09-01,96742.947832680000,7932,4638,13807,13863
2021-10-01,240937.920964700000,11028,6954,21756,21786
2021-11-01,191558.882358630000,9033,5471,16656,16673
2021-12-01,142019.139052830000,7663,4284,13454,13462
2022-01-01,230771.504353390000,7735,4013,15450,15456
2022-02-01,95835.710387640000,5425,3009,10513,10516
2022-03-01,136345.648211610000,6613,3745,12245,12249
2022-04-01,103196.788463410000,5602,3111,11258,11265
2022-05-01,254270.695657000000,7741,4197,16211,16213
2022-06-01,239849.387576030000,7467,3969,14331,14346
2022-07-01,325851.230354450000,5667,3172,10496,10498
2022-08-01,140664.714225800000,5743,3333,10135,10138
2022-09-01,212417.503887840000,6026,3540,10417,10423
2022-10-01,74732.204007050000,5003,3019,8394,8398
2022-11-01,192176.066525880000,10083,6094,17354,17458
2022-12-01,111455.984299360000,7855,5753,12195,12396
2023-01-01,49351.819201120000,7954,5544,11130,11711
2023-02-01,115780.911024560000,6647,4591,9404,9516
2023-03-01,74493.604168980000,8462,5648,12596,12612
2023-04-01,59004.400415770000,6119,3777,8957,8975
2023-05-01,27234.241799040000,4527,2739,5881,5889
2023-06-01,47510.252636830000,5918,3620,8358,8399
2023-07-01,38595.099622110000,5339,3346,7150,7190
2023-08-01,49341.303619320000,5047,2965,7220,7248
2023-09-01,21227.979303140000,4396,2671,6127,6146
2023-10-01,34941.171193950000,7322,5014,10672,10715
2023-11-01,62874.091649900000,7318,4427,10810,10844
2023-12-01,55690.978572580000,8514,5265,12405,12421
2024-01-01,66144.136700120000,8802,5536,13486,13544
2024-02-01,58194.114709430000,9719,6362,14344,14404
2024-03-01,56600.628390570000,12064,7962,17449,17503
2024-04-01,49411.842459340000,16214,12469,21869,22071
2024-05-01,55892.729494310000,18509,12970,23878,23923
2024-06-01,34936.522529520000,10879,7197,15150,15205
2024-07-01,63896.800769300000,15979,7757,21905,22023
2024-08-01,77946.665773660000,17857,12314,27888,29178
2024-09-01,37211.455018390000,13411,9718,21934,23351
2024-10-01,47641.454346480000,10669,6922,16517,17589
2024-11-01,64400.890501700000,14770,9450,23082,23692
2024-12-01,80019.425221490000,17657,11740,24958,25163
2025-01-01,52548.464668730000,16768,11782,23638,23951
2025-02-01,70557.738473310000,20254,13105,30371,30605
2025-03-01,46638.899398090000,14530,9274,24745,26310
2025-04-01,36376.434525210000,18897,12315,32417,38582
2025-05-01,41108.153999590000,28005,19529,41349,45063
2025-06-01,38182.881797210000,16584,11275,39995,44278
2025-07-01,39065.447896620000,16527,10678,33267,35622
2025-08-01,41546.642252990000,16446,10486,29326,34358
2025-09-01,26037.723842650000,16187,10558,27935,31309
2025-10-01,33196.921723660000,20643,13875,36113,39463
2025-11-01,63389.050676610000,17227,10428,37596,42627
2025-12-01,22395.485726290000,17475,11146,32946,36587
2026-01-01,24900.930903430000,23832,18117,50705,51917
2026-02-01,48982.882545650000,22140,15533,50800,52890
2026-03-01,17239.4872656600000000,17548,12480,33538,34182
2026-04-01,25610.751763810000,12124,7043,24903,25960
2026-05-01,22901.669510820000,10271,5837,20491,21154
2026-06-01,26534.485040690000,13684,8303,28570,30279
