month,newly_adopted_addresses
2018-11-01,2
2019-01-01,32
2019-02-01,111
2019-03-01,103
2019-04-01,128
2019-05-01,159
2019-06-01,145
2019-07-01,315
2019-08-01,280
2019-09-01,222
2019-10-01,205
2019-11-01,193
2019-12-01,183
2020-01-01,293
2020-02-01,425
2020-03-01,526
2020-04-01,385
2020-05-01,833
2020-06-01,2424
2020-07-01,1462
2020-08-01,2598
2020-09-01,8591
2020-10-01,6257
2020-11-01,6647
2020-12-01,7467
2021-01-01,8259
2021-02-01,6431
2021-03-01,5341
2021-04-01,4861
2021-05-01,6102
2021-06-01,6963
2021-07-01,4996
2021-08-01,3951
2021-09-01,3227
2021-10-01,4927
2021-11-01,3110
2021-12-01,2556
2022-01-01,2192
2022-02-01,1744
2022-03-01,2471
2022-04-01,2130
2022-05-01,2863
2022-06-01,2829
2022-07-01,2623
2022-08-01,2908
2022-09-01,3608
2022-10-01,3341
2022-11-01,4915
2022-12-01,3438
2023-01-01,4134
2023-02-01,3047
2023-03-01,4845
2023-04-01,3008
2023-05-01,2231
2023-06-01,3051
2023-07-01,2954
2023-08-01,2781
2023-09-01,2386
2023-10-01,5359
2023-11-01,3743
2023-12-01,3720
2024-01-01,5521
2024-02-01,5811
2024-03-01,6541
2024-04-01,15754
2024-05-01,10287
2024-06-01,6332
2024-07-01,7202
2024-08-01,13122
2024-09-01,12381
2024-10-01,6567
2024-11-01,7079
2024-12-01,10195
2025-01-01,9947
2025-02-01,6898
2025-03-01,6481
2025-04-01,6879
2025-05-01,7417
2025-06-01,6297
2025-07-01,6386
2025-08-01,6044
2025-09-01,5086
2025-10-01,11546
2025-11-01,7551
2025-12-01,5358
2026-01-01,6206
2026-02-01,7393
2026-03-01,7128
2026-04-01,4870
2026-05-01,3676
2026-06-01,4053
