month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2018-11-01,0.000042400000000000000000,2,2,1,1
2019-01-01,11.5537705400000000,32,32,49,49
2019-02-01,19.7045958700000000,123,111,163,163
2019-03-01,53.3448200700000000,128,103,218,218
2019-04-01,62.9023648800000000,166,128,379,379
2019-05-01,137.0680532400000000,218,159,538,538
2019-06-01,122.2442390700000000,239,145,501,502
2019-07-01,541.2897194800000000,458,315,1209,1214
2019-08-01,266.4532705500000000,464,280,2112,2175
2019-09-01,434.1131197200000000,412,222,1859,1913
2019-10-01,376.1321065500000000,395,205,1985,2124
2019-11-01,365.7838522300000000,402,193,1744,1833
2019-12-01,385.0595216000000000,363,183,1642,1729
2020-01-01,917.4805670700000000,508,293,2939,3078
2020-02-01,1631.0053114800000000,736,425,4194,4319
2020-03-01,2138.2545921600000000,832,526,4813,4893
2020-04-01,30024.550082560000,706,385,13364,13424
2020-05-01,26579.758637730000,1240,833,11343,11393
2020-06-01,42088.105238710000,3063,2424,10140,10282
2020-07-01,42721.680530990000,2661,1462,8462,8593
2020-08-01,99132.264086700000,3828,2598,13133,13232
2020-09-01,309558.199149940000,10768,8591,29620,29777
2020-10-01,184942.709204660000,10361,6257,31317,31543
2020-11-01,158269.275851560000,12345,6647,38358,38682
2020-12-01,134672.985190120000,13602,7467,41713,42075
2021-01-01,216772.571118290000,15818,8259,57237,57567
2021-02-01,201344.231364110000,13091,6431,41649,42008
2021-03-01,232146.824780420000,11526,5341,32294,32610
2021-04-01,173254.656461340000,11400,4861,30821,31072
2021-05-01,330754.377503230000,13395,6102,47960,48428
2021-06-01,276252.169959540000,13581,6963,51850,52437
2021-07-01,230059.009706850000,11073,4996,36541,36853
2021-08-01,119228.923033020000,9352,3951,26357,26569
2021-09-01,199137.305449100000,7955,3227,22813,23064
2021-10-01,183495.324764100000,9717,4927,26887,27177
2021-11-01,164260.517796750000,7134,3110,16989,17170
2021-12-01,179261.560859040000,6137,2556,14676,14845
2022-01-01,168659.224946910000,5473,2192,13789,13967
2022-02-01,123520.549533360000,4341,1744,12621,12786
2022-03-01,130536.222440660000,5293,2471,20177,20510
2022-04-01,105485.013551430000,4745,2130,17298,17432
2022-05-01,357360.899459730000,6532,2863,28386,28819
2022-06-01,567289.016910210000,6457,2829,29971,30542
2022-07-01,252540.901691030000,5705,2623,30629,31147
2022-08-01,148894.802394610000,6067,2908,23452,23793
2022-09-01,158308.818311840000,6994,3608,28206,28694
2022-10-01,95730.948080390000,6273,3341,13796,14238
2022-11-01,149924.719497270000,9605,4915,22194,23112
2022-12-01,78273.532943880000,6229,3438,12557,12856
2023-01-01,62780.461009470000,7315,4134,14624,14903
2023-02-01,69258.002151610000,5972,3047,11811,12030
2023-03-01,95150.450488650000,8869,4845,19238,19861
2023-04-01,64182.941523900000,6300,3008,12904,13285
2023-05-01,45985.306353860000,4616,2231,9113,9386
2023-06-01,44939.687543420000,6050,3051,12561,13102
2023-07-01,43304.151042880000,5697,2954,11139,11580
2023-08-01,41641.194485560000,5752,2781,11639,12001
2023-09-01,33215.110615620000,4891,2386,9711,9939
2023-10-01,57425.901082110000,8742,5359,25330,25865
2023-11-01,53428.456964420000,7511,3743,16444,16695
2023-12-01,42430.194509540000,7785,3720,15625,15838
2024-01-01,60639.497190950000,10171,5521,23771,24255
2024-02-01,43416.222510590000,9773,5811,20437,20660
2024-03-01,47917.898478830000,11033,6541,21289,21616
2024-04-01,37402.150214980000,20369,15754,32131,32509
2024-05-01,37282.066639450000,16482,10287,30311,30764
2024-06-01,26007.661169750000,10378,6332,17972,18179
2024-07-01,45427.047130610000,11584,7202,22387,22808
2024-08-01,52482.274525120000,19376,13122,36480,37118
2024-09-01,30756.623106200000,17466,12381,30393,31109
2024-10-01,36355.119488960000,11577,6567,23024,23572
2024-11-01,54625.757540880000,13501,7079,30996,31760
2024-12-01,52820.275453170000,17343,10195,30551,30984
2025-01-01,38873.451678730000,15884,9947,29079,29653
2025-02-01,40235.184679790000,13053,6898,29098,30015
2025-03-01,36478.013370550000,12522,6481,28863,29413
2025-04-01,29901.561893970000,13590,6879,34050,34662
2025-05-01,35093.017892230000,14445,7417,37039,37780
2025-06-01,25376.721354310000,11906,6297,29918,30601
2025-07-01,26392.262105370000,13053,6386,31261,31920
2025-08-01,28443.146817760000,12240,6044,33072,33601
2025-09-01,26365.050501320000,10584,5086,28151,28596
2025-10-01,30661.532412920000,19064,11546,45111,45758
2025-11-01,44503.553067520000,15184,7551,42539,43875
2025-12-01,23333.592033930000,11007,5358,36012,38009
2026-01-01,27856.547305780000,12974,6206,41651,43796
2026-02-01,39147.362047500000,15674,7393,50595,52838
2026-03-01,21920.994566870000,13289,7128,45917,47897
2026-04-01,28281.480281850000,11275,4870,31060,32427
2026-05-01,21005.959084120000,9333,3676,22857,23746
2026-06-01,23646.487944440000,10373,4053,30157,31466
