month,funder_rank,funded_by_id,funded_by_address,newly_funded_addresses,raw_funded_volume,funded_volume
2018-11-01,1,199526307,8d61ab7571b117644a52240456df66ef846cd999,1,4240,0.000042400000000000000000
2019-01-01,1,3776890,058251232c086247ca91998472245d8ae213666c,2,100000,0.00100000000000000000
2019-01-01,2,53956517,8e5d30f161ba3ebb09dc3c1f06515656af34baa1,1,1560000,0.01560000000000000000
2019-01-01,3,207836,d81aa8bab2471ab2ba58f2e1f52a671c83162f9e,1,1243971,0.01243971000000000000
2019-01-01,4,252795318,a50728fdb0af82b3c43318d82f297e854c809dab,1,1182272,0.01182272000000000000
2019-01-01,5,69123433,1114fa65a2f3d01b045dc2c22cfb224af4f16198,1,1000000,0.01000000000000000000
2019-01-01,6,192649060,a093017e86854387c3562d8626340d5760660a73,1,250000,0.00250000000000000000
2019-01-01,7,299810,034767f3c519f361c5ecf46ebfc08981c629d381,1,100000,0.00100000000000000000
2019-01-01,8,252940510,1ea7e9da1ad38165e8d56e0fc1a7c14f96e71654,1,20000,0.00020000000000000000
2019-01-01,9,81795817,d88c5cada2aacd7fa866625e77cbbe95463ed67e,1,15742,0.000157420000000000000000
2019-02-01,1,9956096,cfeb156bbb1e82a5a2322c97aa49f0333b3c56cb,1,50000000,0.50000000000000000000
2019-02-01,2,178438574,4fe95c36bb9b3a81f278569525162f91615e77d7,1,13632608,0.13632608000000000000
2019-02-01,3,212286201,0fe01644e6219cf8fe9327713084ef4101ace085,1,9088639,0.09088639000000000000
2019-02-01,4,259852688,2763255280c00277ac4f1d84bc1ef494de432abd,1,3280000,0.03280000000000000000
2019-02-01,5,43469862,010afb8548a5d1a3a3d62f58ca0a5a1329974206,1,3163367,0.03163367000000000000
2019-02-01,6,228500406,1812a7cae9c0038d5744fb8354f7a55eb0761229,1,3094393,0.03094393000000000000
2019-02-01,7,22909610,a7f3dfed2bcf7b35a8824e11ae8f723650edfb58,1,2754901,0.02754901000000000000
2019-02-01,8,167384535,df388a9338aa924587bf91437760f02ecf425cbf,1,1640000,0.01640000000000000000
2019-02-01,9,219751410,7c873433a1bd0cde667a08f8bec66965a4c37c92,1,1603113,0.01603113000000000000
2019-02-01,10,170257142,81da4f0bcea8d330d790da28bf5349d29ad51fda,1,1432137,0.01432137000000000000
2019-02-01,11,230517071,e4abc4b89302a7a2174011a3d9d5f67a6c37c7b6,1,1300000,0.01300000000000000000
2019-02-01,12,133440956,dcae967431fb51aa7453ec6c06fa544c25e0f1ff,1,500000,0.00500000000000000000
2019-02-01,13,256535894,f0f922d9f2525fb8932cdf4041003d807c85edf1,1,305002,0.00305002000000000000
2019-02-01,14,228131683,d7249ef73f4f3d52cd6da313bfca9d0de3579c01,1,237899,0.00237899000000000000
2019-02-01,15,53956517,8e5d30f161ba3ebb09dc3c1f06515656af34baa1,1,169900,0.00169900000000000000
2019-02-01,16,16933343,c89aae58fd4d9b69a26595615703595aa782734b,1,160626,0.00160626000000000000
2019-02-01,17,256007984,58069b8e1507afc15dda5e89e54648311668860c,1,100316,0.00100316000000000000
2019-02-01,18,799602,69bdb276a17dd90f9d3a545944ccb20e593ae8e3,1,100000,0.00100000000000000000
2019-02-01,19,211020357,900a30257db838d82130980497bd403adaf5e441,1,30000,0.00030000000000000000
2019-02-01,20,34005831,feda60643713afe689063a64651fc3bff34a7208,1,0,0E-28
2019-03-01,1,86618054,1550d41be3651686e1aeeea073d8d403d0bd2e30,3,2700000,0.02700000000000000000
2019-03-01,2,190556910,f7fb07e46a54a0878105c6271b753948e715a962,3,720178,0.00720178000000000000
2019-03-01,3,235979114,faf0708d1aed2566205d61f471d7e4aeb10910ea,1,600000000,6.0000000000000000
2019-03-01,4,213546,cfe4b63246a23c92d96940a0261d4ca754edd7bd,1,200000000,2.0000000000000000
2019-03-01,5,207616008,7b77106caa1cd9bd02bc1476938798c9cbb3f90a,1,109431677,1.09431677000000000000
2019-03-01,6,11594479,2fd159fda924728cae69e711f2f56feb20f191b0,1,15214015,0.15214015000000000000
2019-03-01,7,268472983,bdc986c3a8b6a0f6fbae9a1b22b64e3904fdd1b3,1,10510268,0.10510268000000000000
2019-03-01,8,263727200,1337b12a0535d6b7a97b33a46664fc01b3e140c4,1,6424000,0.06424000000000000000
2019-03-01,9,170257142,81da4f0bcea8d330d790da28bf5349d29ad51fda,1,4945400,0.04945400000000000000
2019-03-01,10,229134562,5d041980e76e766c0b8ca414c4244e75942ccbf2,1,4732915,0.04732915000000000000
2019-03-01,11,83110393,b3b1a1193a0b7b48b46efc3c86b614b152c257d5,1,3430407,0.03430407000000000000
2019-03-01,12,273729273,f5cd3c816dd84a101802ee1c46577dc39a8b4034,1,3381901,0.03381901000000000000
2019-03-01,13,14755935,f2181396f9fd91421d9bd5e0e6dbecadc3458393,1,2561693,0.02561693000000000000
2019-03-01,14,88125385,effa6c13c6e8cb3dd705da3a2545e5d71dc8fd47,1,600000,0.00600000000000000000
2019-03-01,15,235606595,69de827466eb02d672b79139f0eff3cee2358c79,1,346001,0.00346001000000000000
2019-03-01,16,274092949,0cbc4098643f456fd70d2cfdb211cb0af930cc20,1,219020,0.00219020000000000000
2019-03-01,17,171837243,e161e8fabd060784747822397b53b0c6555a6494,1,200000,0.00200000000000000000
2019-03-01,18,35731183,415eda0e27b032e39f6ca3a3d89669c5b979b71a,1,150000,0.00150000000000000000
2019-03-01,19,230784891,4a821aa1affbf7ee89a245bf750d1d7374e77409,1,92800,0.00092800000000000000
2019-03-01,20,274085161,d22fb16e401094d6eb0b37faee6d97a3560a731d,1,24311,0.00024311000000000000
2019-03-01,21,217710020,ba8ec1f5ee094912266fbcca6331dff6f1a719f1,1,5000,0.000050000000000000000000
2019-04-01,1,277431736,24eeb25be492d161bb2e78773463a1c2645d3e1d,1,358000000,3.5800000000000000
2019-04-01,2,6157468,9a7f411a683d0a281a45994281c0cd387016e527,1,100000000,1.00000000000000000000
2019-04-01,3,271909312,38b764abd2f2170880f5e98fdd61ab91ef890231,1,39028256,0.39028256000000000000
2019-04-01,4,271297905,0dd2120544a9ec1333a6e6b6a2aad22eacb60351,1,35123124,0.35123124000000000000
2019-04-01,5,28570550,1e0a8bcab64489766cd96f3e29d91f1717d168a2,1,12205086,0.12205086000000000000
2019-04-01,6,274492827,a1872b9b494556777d2b3ac5e699cf7fb377bafc,1,12124960,0.12124960000000000000
2019-04-01,7,209203811,c14949d23c3620c9b08034b677dd063d27b6d3b6,1,11000000,0.11000000000000000000
2019-04-01,8,293514382,e9a972a1599a2e4246743ccce6fd150a36b6e75b,1,9132222,0.09132222000000000000
2019-04-01,9,235160951,ee37f338220479c8f652e3557f02513bdb11c160,1,5000000,0.05000000000000000000
2019-04-01,10,286723646,b3d8ab962cba81b923d9f4dcb56864e1d0e20a4e,1,4908501,0.04908501000000000000
2019-04-01,11,40602198,59a5208b32e627891c389ebafc644145224006e8,1,3813300,0.03813300000000000000
