month,user_rank,address_id,address,outgoing_transfer_count,outgoing_transaction_count,raw_outgoing_volume,outgoing_volume
2018-11-01,1,199526307,8d61ab7571b117644a52240456df66ef846cd999,1,1,4240,0.000042400000000000000000
2019-01-01,1,248646488,f89cc7444b36e48c7c5f65ed6e1cf0ca79c07274,2,2,700000000,7.0000000000000000
2019-01-01,2,217416647,7c819b61b3a35ab718f66508d31e2cf3c25eb624,1,1,300000000,3.0000000000000000
2019-01-01,3,254632511,d72420f5818df3bb0a1b075c311337660da5a462,1,1,59900000,0.59900000000000000000
2019-01-01,4,5442242,b6eb128ef60d3268e2e85475544d737d412beb51,1,1,58890771,0.58890771000000000000
2019-01-01,5,244960920,38bc9915922ba42bb67a804befa510e4bbbfb4ba,3,3,14136600,0.14136600000000000000
2019-01-01,6,1011283,84ecb387395a1be65e133c75ff9e5fcc6f756db3,2,2,11999991,0.11999991000000000000
2019-01-01,7,69123433,1114fa65a2f3d01b045dc2c22cfb224af4f16198,2,2,2000000,0.02000000000000000000
2019-01-01,8,4376880,cc8714ef555346c73bc02367923c490a53170e04,1,1,1567119,0.01567119000000000000
2019-01-01,9,53956517,8e5d30f161ba3ebb09dc3c1f06515656af34baa1,1,1,1560000,0.01560000000000000000
2019-01-01,10,207836,d81aa8bab2471ab2ba58f2e1f52a671c83162f9e,1,1,1243971,0.01243971000000000000
2019-01-01,11,252795318,a50728fdb0af82b3c43318d82f297e854c809dab,1,1,1182272,0.01182272000000000000
2019-01-01,12,252940510,1ea7e9da1ad38165e8d56e0fc1a7c14f96e71654,14,14,740620,0.00740620000000000000
2019-01-01,13,84755715,047edaf87b0c40b007b7c17f32aca777c6e57f62,1,1,495266,0.00495266000000000000
2019-01-01,14,145366178,75bbc7d37d3bf975b527cf2e99b947d61a22ef95,2,2,280729,0.00280729000000000000
2019-01-01,15,241340016,4fed5cffa59895d9fbb944689e0b9aded8fb3ff9,1,1,254564,0.00254564000000000000
2019-01-01,16,192649060,a093017e86854387c3562d8626340d5760660a73,1,1,250000,0.00250000000000000000
2019-01-01,17,81795817,d88c5cada2aacd7fa866625e77cbbe95463ed67e,2,2,215742,0.00215742000000000000
2019-01-01,18,255633714,4a0b24888376e45a1b72e123516cc33c0803d31d,2,2,200200,0.00200200000000000000
2019-01-01,19,253028978,434b831dba99aec18259ac95e68295cc4e1ce7c1,5,5,150100,0.00150100000000000000
2019-01-01,20,252950705,fdf26a5c297f0f6f7eed18ba44dc746793d67d64,2,2,109109,0.00109109000000000000
2019-01-01,21,3776890,058251232c086247ca91998472245d8ae213666c,2,2,100000,0.00100000000000000000
2019-01-01,22,299810,034767f3c519f361c5ecf46ebfc08981c629d381,1,1,100000,0.00100000000000000000
2019-02-01,1,254632511,d72420f5818df3bb0a1b075c311337660da5a462,1,1,745682763,7.4568276300000000
2019-02-01,2,248646488,f89cc7444b36e48c7c5f65ed6e1cf0ca79c07274,1,1,153578444,1.53578444000000000000
2019-02-01,3,257244523,056462e84285be6edb54f8e0adf0dd550361caf7,2,2,115500000,1.15500000000000000000
2019-02-01,4,225454264,6c7f93f5ffa7222b014bc94a07a4a24335e0fde1,2,2,100000000,1.00000000000000000000
2019-02-01,5,244960920,38bc9915922ba42bb67a804befa510e4bbbfb4ba,16,16,90881026,0.90881026000000000000
2019-02-01,6,264511800,68158dd454a48950d0aea09633109b3a4eb15391,2,2,87515149,0.87515149000000000000
2019-02-01,7,560145,cf085317456133e93d72ab5fc56025d8d3802c38,10,10,74647535,0.74647535000000000000
2019-02-01,8,231516953,db8f12b16740fa4a66ddd0f4aa9d82bcd2184745,1,1,52715496,0.52715496000000000000
2019-02-01,9,9956096,cfeb156bbb1e82a5a2322c97aa49f0333b3c56cb,1,1,50000000,0.50000000000000000000
2019-02-01,10,53956517,8e5d30f161ba3ebb09dc3c1f06515656af34baa1,9,9,43953395,0.43953395000000000000
2019-02-01,11,128628207,05bb2c35cb56e149c310c5c1447d382eeda3a80d,8,8,43776706,0.43776706000000000000
2019-02-01,12,254194368,e95ca96f0e281c7bfae9f13a34946a8f1dfd7fa8,1,1,39995618,0.39995618000000000000
2019-02-01,13,257519316,52d5a2c9543fdcc4017b2fb2d18d10ed1862a8d6,5,5,28824764,0.28824764000000000000
2019-02-01,14,62858431,7d9ee001d1fe51c793f4423e6b10c3c531e7908b,1,1,27755702,0.27755702000000000000
2019-02-01,15,261931960,07f16c25a73c0df5db0d6c0bdde8990554937909,1,1,21140749,0.21140749000000000000
2019-02-01,16,223507627,1219f9337b14073a3f03b3316788a46650ff7371,1,1,20375156,0.20375156000000000000
2019-02-01,17,182652998,003c52a71c887461087154eccced08cb1c5384a5,1,1,19938084,0.19938084000000000000
2019-02-01,18,252703365,bcf335ba7eee4df9fc8f92290bd789198d4c9137,1,1,16140000,0.16140000000000000000
2019-02-01,19,1493826,7d780b53f813fc43faa04c86771a03ab9e184776,1,1,15000000,0.15000000000000000000
2019-02-01,20,178438574,4fe95c36bb9b3a81f278569525162f91615e77d7,1,1,13632608,0.13632608000000000000
2019-02-01,21,257851051,dd2077a56c6f0f7b219892ff0e3ee16712898079,3,3,13609999,0.13609999000000000000
2019-02-01,22,258284454,69f329ee79c98a94765e4105adfd5a87458d919c,2,2,12670840,0.12670840000000000000
2019-02-01,23,790555,c454e2b4ebb3c74b2caf83e74067a8055b375e4e,1,1,10400000,0.10400000000000000000
2019-02-01,24,406747,0ad82809168be581d1e708457b4a45b0bb311632,1,1,9900001,0.09900001000000000000
2019-02-01,25,177381201,00e541a6e7d9ab69e9343c9ba357d5f6e367dfc2,1,1,9827884,0.09827884000000000000
2019-02-01,26,394168,dffbff78cfba1b59596166a663c91cb5babee378,1,1,9560000,0.09560000000000000000
2019-02-01,27,248613613,ed7f3ad1a42ae837e88f94e112295db89bc50037,1,1,9100000,0.09100000000000000000
2019-02-01,28,212286201,0fe01644e6219cf8fe9327713084ef4101ace085,1,1,9088639,0.09088639000000000000
2019-02-01,29,260636369,512f65772ebf36646f499d7f7c7b0a195f06a281,2,2,8546035,0.08546035000000000000
2019-02-01,30,162882,01a68a6732b4fe2ed16fcfad83a112e0915fa80a,2,2,7670000,0.07670000000000000000
2019-02-01,31,258689179,4efa4eebd9aac2bb38b7014551fe885baaf2edc3,2,2,7055670,0.07055670000000000000
2019-02-01,32,43469862,010afb8548a5d1a3a3d62f58ca0a5a1329974206,2,2,6326667,0.06326667000000000000
2019-02-01,33,228500406,1812a7cae9c0038d5744fb8354f7a55eb0761229,2,2,6208197,0.06208197000000000000
2019-02-01,34,250922325,b0132e0ce87dfd81841d288489824765f9e80a9c,1,1,5000001,0.05000001000000000000
2019-02-01,35,8010159,057dc43af6187a931e78a56b3293912a5b42e5ec,1,1,5000000,0.05000000000000000000
2019-02-01,36,170257142,81da4f0bcea8d330d790da28bf5349d29ad51fda,3,3,4556733,0.04556733000000000000
2019-02-01,37,256901111,2252c1cae17833824c702f2aea367f1fd04f1480,3,3,4446092,0.04446092000000000000
2019-02-01,38,125898303,3291b6f134b2a90967bd9667d59dbf51d7c6241e,1,1,3468587,0.03468587000000000000
2019-02-01,39,259852688,2763255280c00277ac4f1d84bc1ef494de432abd,2,2,3381577,0.03381577000000000000
2019-02-01,40,12320142,dc06627e53e2ef7c857e1976a48f28fb1833ccc3,1,1,3361999,0.03361999000000000000
2019-02-01,41,7567282,64abc5b10c77d93be5038e7b4965d2f0d8279127,1,1,3030789,0.03030789000000000000
2019-02-01,42,255898240,94ddba104df5330fca20e9aa09635229c36454ac,1,1,2942000,0.02942000000000000000
2019-02-01,43,22909610,a7f3dfed2bcf7b35a8824e11ae8f723650edfb58,1,1,2754901,0.02754901000000000000
2019-02-01,44,2693508,82dd4ff5d57e62b0a2e16c93331bb946828843e8,1,1,2718600,0.02718600000000000000
2019-02-01,45,257720451,0c52df4dae52688cc675d55d00747bc3493ee70f,1,1,2674522,0.02674522000000000000
2019-02-01,46,154309812,07cb83db7cccd3b7945b839d79a8229113580dc9,1,1,2572159,0.02572159000000000000
2019-02-01,47,236949330,fed4cf2725d35abdf40df427275273f6f26a1968,1,1,2569289,0.02569289000000000000
2019-02-01,48,135058565,52d55660a63a2ac6ca7c117e367ce37ed0a39ce8,1,1,2566926,0.02566926000000000000
2019-02-01,49,9949114,195a85f9f9defedfc62deb2a44602a77e5b573cd,1,1,2508629,0.02508629000000000000
2019-02-01,50,8051391,932e269e4cbb515e30159dfb1205af192a3e3ee9,1,1,2500000,0.02500000000000000000
2019-02-01,51,244992142,0ac2cceb8391d11aa5e625e62a124312c2b462af,1,1,2376504,0.02376504000000000000
2019-02-01,52,119651234,a398ed016b731f4f52422d049749097772af1e1b,1,1,2192012,0.02192012000000000000
2019-02-01,53,179280008,0bc7355686a264deddc239dd30d4d201612aeb8b,1,1,2135789,0.02135789000000000000
2019-02-01,54,167384535,df388a9338aa924587bf91437760f02ecf425cbf,1,1,1640000,0.01640000000000000000
2019-02-01,55,132598438,7948c0be7c5f0921c5cea2a3b0ef59f45135c0d9,1,1,1603113,0.01603113000000000000
2019-02-01,56,219751410,7c873433a1bd0cde667a08f8bec66965a4c37c92,1,1,1603113,0.01603113000000000000
2019-02-01,57,10364188,26a56c7f129e5f351d0d438ba7cfd9749b5f010f,1,1,1560906,0.01560906000000000000
2019-02-01,58,257464111,010c0003e542101d581392bdfc4a968072f7bf8f,1,1,1547442,0.01547442000000000000
2019-02-01,59,263092468,0d7b20ce912fddc794e6be3991f9db20ee496299,1,1,1472853,0.01472853000000000000
2019-02-01,60,153428513,a5d224b43eab837aa2ee9c6ed727f1613f301a5e,1,1,1450000,0.01450000000000000000
2019-02-01,61,230517071,e4abc4b89302a7a2174011a3d9d5f67a6c37c7b6,1,1,1300000,0.01300000000000000000
2019-02-01,62,198446353,41b888be6e9dccf4316df7454176f75b72f640de,1,1,1249794,0.01249794000000000000
2019-02-01,63,81795817,d88c5cada2aacd7fa866625e77cbbe95463ed67e,1,1,1042362,0.01042362000000000000
2019-02-01,64,220961629,5d1cc0299de069514d2affb27d7035aa68e2d514,1,1,1000000,0.01000000000000000000
2019-02-01,65,25971824,a6ea8255ad9785ffb2d4c11bdfe698bf20377f09,2,2,991364,0.00991364000000000000
2019-02-01,66,235927493,3720b5bdd49d482b372bf0bba5366a9405a1c74f,1,1,857000,0.00857000000000000000
2019-02-01,67,42720782,f388ddf8047271fac2eb5a09a420202178e72406,1,1,712000,0.00712000000000000000
2019-02-01,68,33667221,588a0bd42a9877683607ffb3e5f86afc351df009,1,1,674000,0.00674000000000000000
2019-02-01,69,362405,7dfd8b90731548bcc0a76097879fa21eb9efd980,1,1,672943,0.00672943000000000000
2019-02-01,70,1043726,ac3cc401bd598a8f1ab0aaeb9867aa2fb2779ded,1,1,615700,0.00615700000000000000
2019-02-01,71,133440956,dcae967431fb51aa7453ec6c06fa544c25e0f1ff,2,2,505000,0.00505000000000000000
2019-02-01,72,253013026,33daff7cc99bfb94381b43fd660d6a8b2011fdc2,1,1,500000,0.00500000000000000000
2019-02-01,73,233048501,c440f1b4766659f1a008c3620d9961605044affb,1,1,494900,0.00494900000000000000
2019-02-01,74,259677223,6bf26393456f181ac7a9365058c691cf9487b44c,1,1,480000,0.00480000000000000000
2019-02-01,75,234043863,bd01a6ee3d4ae38a154c51561d0b791083a4c87d,1,1,355189,0.00355189000000000000
2019-02-01,76,259929121,54bc3fe4e8c377246acd5b4c25705c1b4324e859,1,1,348000,0.00348000000000000000
2019-02-01,77,110745286,f4117a39bc1dde7ee03da9a22a6f3bc3a1dd90b3,1,1,320000,0.00320000000000000000
2019-02-01,78,173959636,f82fbd0ccc58339cd2d347d10d0c4678575f9bd2,1,1,308513,0.00308513000000000000
2019-02-01,79,256535894,f0f922d9f2525fb8932cdf4041003d807c85edf1,1,1,305002,0.00305002000000000000
2019-02-01,80,252940510,1ea7e9da1ad38165e8d56e0fc1a7c14f96e71654,3,3,300300,0.00300300000000000000
2019-02-01,81,253994140,23bed6a56615208a740aec7f6fa30d97d90b9686,1,1,294192,0.00294192000000000000
2019-02-01,82,203598990,e39b9e8e2b252d4c936ef16812096e3206900138,1,1,286172,0.00286172000000000000
2019-02-01,83,76548628,3222f7fa1af257ca3db7b79cf640c1045e41cd86,1,1,274000,0.00274000000000000000
2019-02-01,84,87772684,d5ff226ab3d33925c802ee69d15c130ae21af316,1,1,272600,0.00272600000000000000
2019-02-01,85,228131683,d7249ef73f4f3d52cd6da313bfca9d0de3579c01,1,1,237899,0.00237899000000000000
2019-02-01,86,259254881,6fcaf20156c98b6ab67c362ed53f202875d6c655,1,1,235500,0.00235500000000000000
2019-02-01,87,39491114,d95a223fd719492b659ab3725ea7204782b6b28a,1,1,201941,0.00201941000000000000
2019-02-01,88,256007984,58069b8e1507afc15dda5e89e54648311668860c,2,2,200216,0.00200216000000000000
2019-02-01,89,559448,a8ee48eaab6bd037cb992e29f12a7b9da31ea222,1,1,190231,0.00190231000000000000
2019-02-01,90,16933343,c89aae58fd4d9b69a26595615703595aa782734b,1,1,160626,0.00160626000000000000
2019-02-01,91,799602,69bdb276a17dd90f9d3a545944ccb20e593ae8e3,1,1,100000,0.00100000000000000000
2019-02-01,92,257030248,683a42e5b414ae5cf79ece7e369ca5937fdcdc11,1,1,100000,0.00100000000000000000
2019-02-01,93,234654997,f285d325a93ad55d1fcea4917402cbe8175f66df,1,1,96000,0.00096000000000000000
2019-02-01,94,211020357,900a30257db838d82130980497bd403adaf5e441,2,2,35001,0.00035001000000000000
2019-02-01,95,251027114,571b41ac0d9adf129aa690081055a2a756712440,1,1,30979,0.00030979000000000000
2019-02-01,96,256134943,d9b50d6976f068ff19d0722f2b1a46c7e1362ba3,1,1,30500,0.00030500000000000000
2019-02-01,97,1011283,84ecb387395a1be65e133c75ff9e5fcc6f756db3,1,1,30000,0.00030000000000000000
2019-02-01,98,34005831,feda60643713afe689063a64651fc3bff34a7208,1,1,0,0E-28
2019-03-01,1,273729273,f5cd3c816dd84a101802ee1c46577dc39a8b4034,14,14,1660574964,16.6057496400000000
2019-03-01,2,235606595,69de827466eb02d672b79139f0eff3cee2358c79,13,13,982664977,9.8266497700000000
2019-03-01,3,235979114,faf0708d1aed2566205d61f471d7e4aeb10910ea,1,1,600000000,6.0000000000000000
2019-03-01,4,235160951,ee37f338220479c8f652e3557f02513bdb11c160,5,5,335483324,3.3548332400000000
2019-03-01,5,254632511,d72420f5818df3bb0a1b075c311337660da5a462,1,1,250000000,2.5000000000000000
2019-03-01,6,213546,cfe4b63246a23c92d96940a0261d4ca754edd7bd,1,1,200000000,2.0000000000000000
2019-03-01,7,221328618,52feb9bf6f37bbd01309515feec062632f5ccb2b,3,3,199600000,1.99600000000000000000
2019-03-01,8,207616008,7b77106caa1cd9bd02bc1476938798c9cbb3f90a,1,1,109431677,1.09431677000000000000
2019-03-01,9,263320644,c5032d64828f6701f60a9c8ad6d95d8a89b944ab,1,1,97958406,0.97958406000000000000
2019-03-01,10,686663,d1f3c7912434d5f43722874b8c7e6acaabab322b,1,1,93936803,0.93936803000000000000
2019-03-01,11,265776992,747797665f5016895682ef40513a5edd51261b89,6,6,92846774,0.92846774000000000000
2019-03-01,12,151672444,1923afc0a8e2e243e25cee15ea4f686b35edd322,1,1,81762526,0.81762526000000000000
2019-03-01,13,560145,cf085317456133e93d72ab5fc56025d8d3802c38,5,5,78134250,0.78134250000000000000
2019-03-01,14,128628207,05bb2c35cb56e149c310c5c1447d382eeda3a80d,7,7,64999708,0.64999708000000000000
2019-03-01,15,82778559,289743b373fa21c0ba8fb2fb1727d07597e7c277,21,21,59482200,0.59482200000000000000
2019-03-01,16,268013405,d6acae40796ec0435f743a03cc292e15c10f36c1,11,11,58601428,0.58601428000000000000
2019-03-01,17,266266467,4c4efa19df14d57bd85b0bfc9af528019479a3d2,11,11,48990025,0.48990025000000000000
2019-03-01,18,55199793,1ea456cb5f130d17179dc506df8cb0c754e9c902,3,3,34573280,0.34573280000000000000
2019-03-01,19,254194368,e95ca96f0e281c7bfae9f13a34946a8f1dfd7fa8,1,1,31488282,0.31488282000000000000
2019-03-01,20,176086643,02b0e3ccf41270fb5294ec229667c56c0bb14a95,2,2,21249330,0.21249330000000000000
2019-03-01,21,268472983,bdc986c3a8b6a0f6fbae9a1b22b64e3904fdd1b3,2,2,21020468,0.21020468000000000000
2019-03-01,22,210834446,28db78d9d0b756a2cad975f5804396682484973c,1,1,20000000,0.20000000000000000000
2019-03-01,23,11594479,2fd159fda924728cae69e711f2f56feb20f191b0,1,1,15214015,0.15214015000000000000
2019-03-01,24,9956096,cfeb156bbb1e82a5a2322c97aa49f0333b3c56cb,1,1,14037125,0.14037125000000000000
2019-03-01,25,217416647,7c819b61b3a35ab718f66508d31e2cf3c25eb624,1,1,13429401,0.13429401000000000000
2019-03-01,26,170257142,81da4f0bcea8d330d790da28bf5349d29ad51fda,2,2,9877450,0.09877450000000000000
