month,newly_adopted_addresses
2018-11-01,2
2019-01-01,101
2019-02-01,153
2019-03-01,172
2019-04-01,152
2019-05-01,192
2019-06-01,207
2019-07-01,330
2019-08-01,334
2019-09-01,238
2019-10-01,227
2019-11-01,212
2019-12-01,194
2020-01-01,309
2020-02-01,486
2020-03-01,593
2020-04-01,418
2020-05-01,928
2020-06-01,2352
2020-07-01,1562
2020-08-01,2598
2020-09-01,8008
2020-10-01,7193
2020-11-01,7605
2020-12-01,9380
2021-01-01,9350
2021-02-01,6648
2021-03-01,5537
2021-04-01,5315
2021-05-01,6753
2021-06-01,6857
2021-07-01,5345
2021-08-01,4874
2021-09-01,3696
2021-10-01,6562
2021-11-01,3387
2021-12-01,2851
2022-01-01,2186
2022-02-01,1958
2022-03-01,2853
2022-04-01,2224
2022-05-01,3874
2022-06-01,3716
2022-07-01,3188
2022-08-01,3339
2022-09-01,4176
2022-10-01,4387
2022-11-01,5968
2022-12-01,4169
2023-01-01,4318
2023-02-01,4032
2023-03-01,7103
2023-04-01,3256
2023-05-01,2441
2023-06-01,3960
2023-07-01,3472
2023-08-01,3231
2023-09-01,2840
2023-10-01,6832
2023-11-01,4119
2023-12-01,4303
2024-01-01,6401
2024-02-01,5344
2024-03-01,6099
2024-04-01,11264
2024-05-01,11699
2024-06-01,8463
2024-07-01,6524
2024-08-01,10616
2024-09-01,9427
2024-10-01,5865
2024-11-01,7447
2024-12-01,8045
2025-01-01,9757
2025-02-01,12390
2025-03-01,9997
2025-04-01,10822
2025-05-01,15054
2025-06-01,10926
2025-07-01,8059
2025-08-01,8335
2025-09-01,8418
2025-10-01,15046
2025-11-01,10220
2025-12-01,8747
2026-01-01,14880
2026-02-01,15428
2026-03-01,12559
2026-04-01,8911
2026-05-01,6762
2026-06-01,9866
