month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2018-11-01,14,9,9049244,0.09049244000000000000,4,5,5
2019-01-01,153,127,2971666877,29.7166687700000000,14,19,21
2019-02-01,641,421,2770083576,27.7008357600000000,32,36,43
2019-03-01,950,612,11652121132,116.5212113200000000,44,39,51
2019-04-01,2336,1203,19143247529,191.4324752900000000,61,66,75
2019-05-01,3462,1893,63208704591,632.0870459100000000,86,94,107
2019-06-01,4257,1929,57397829182,573.9782918200000000,103,102,116
2019-07-01,7401,3069,122269066486,1222.6906648600000000,140,127,168
2019-08-01,6363,2893,82851492884,828.5149288400000000,169,154,190
2019-09-01,3709,1965,77137187356,771.3718735600000000,144,149,182
2019-10-01,3895,1970,63247293786,632.4729378600000000,155,168,199
2019-11-01,4375,1887,64743008714,647.4300871400000000,151,148,184
2019-12-01,4390,1941,65201080268,652.0108026800000000,138,140,170
2020-01-01,9014,3785,277459792453,2774.5979245300000000,177,204,234
2020-02-01,11784,5117,644179063684,6441.7906368400000000,253,269,302
2020-03-01,10912,5710,407744350763,4077.4435076300000000,216,237,270
2020-04-01,6048,3412,210248660244,2102.4866024400000000,277,291,335
2020-05-01,11359,6125,522492043731,5224.9204373100000000,591,552,730
2020-06-01,19543,10565,5091746404876,50917.464048760000,1148,1019,1324
2020-07-01,20923,10050,9698946681799,96989.466817990000,1023,852,1235
2020-08-01,30173,15488,6790909878736,67909.098787360000,1341,746,1504
2020-09-01,43398,25535,22689165596922,226891.655969220000,1805,999,1952
2020-10-01,43766,26055,17670182038593,176701.820385930000,1705,1291,1959
2020-11-01,60650,37478,13705067727513,137050.677275130000,2055,1643,2427
2020-12-01,71394,44777,12674717158857,126747.171588570000,2278,1794,2676
2021-01-01,113757,79569,19406879743921,194068.797439210000,2373,1907,2792
2021-02-01,92217,69592,15768478662325,157684.786623250000,2014,1524,2327
2021-03-01,61907,44965,17164485218691,171644.852186910000,2046,1516,2339
2021-04-01,65998,47784,14429447020471,144294.470204710000,1984,1616,2369
2021-05-01,110582,74017,40153105829366,401531.058293660000,2311,1935,2686
2021-06-01,133849,86685,32067219346559,320672.193465590000,2265,2074,2679
2021-07-01,112385,73152,27180908635084,271809.086350840000,1754,1705,2124
2021-08-01,87733,57692,21883618538034,218836.185380340000,1520,1532,1898
2021-09-01,62253,42698,21489262985113,214892.629851130000,1388,1356,1702
2021-10-01,63821,45130,23303149244498,233031.492444980000,1464,1423,1846
2021-11-01,44571,30791,19336106625318,193361.066253180000,1177,1144,1468
2021-12-01,43752,29692,19282822959677,192828.229596770000,1225,1110,1496
2022-01-01,42629,28688,25727618738946,257276.187389460000,1113,990,1341
2022-02-01,39322,26648,19422854703407,194228.547034070000,930,901,1148
2022-03-01,45752,30556,17778575272080,177785.752720800000,1054,1031,1302
2022-04-01,35239,24005,15894886751082,158948.867510820000,960,934,1183
2022-05-01,61889,41985,46011285729350,460112.857293500000,1309,1235,1649
2022-06-01,86569,61054,78585229019502,785852.290195020000,1375,1270,1715
2022-07-01,85886,57894,36540701803480,365407.018034800000,1169,1231,1483
2022-08-01,75264,51579,28003418449051,280034.184490510000,1169,1191,1450
2022-09-01,89353,59827,26778923068618,267789.230686180000,1250,1281,1547
2022-10-01,75020,57049,23249645549510,232496.455495100000,1147,1186,1419
2022-11-01,125298,88046,58151648893903,581516.488939030000,1684,1676,2113
2022-12-01,61029,42895,14145007098319,141450.070983190000,1172,1215,1497
2023-01-01,94788,66914,18083407889603,180834.078896030000,1218,1265,1540
2023-02-01,64190,46772,12959411712783,129594.117127830000,1128,1136,1421
2023-03-01,105940,75716,37485290872107,374852.908721070000,1581,1726,2074
2023-04-01,64485,47276,21310728798339,213107.287983390000,1592,1576,1896
2023-05-01,37683,27407,7193126916786,71931.269167860000,1087,1062,1318
2023-06-01,59291,42105,15948545690270,159485.456902700000,1163,1220,1497
2023-07-01,42163,29277,9685036220753,96850.362207530000,1173,1212,1492
2023-08-01,54096,37949,9822227416589,98222.274165890000,1207,1229,1533
2023-09-01,49184,37500,11924462447678,119244.624476780000,1070,1120,1376
2023-10-01,123529,81643,54599900379931,545999.003799310000,1543,1652,2060
2023-11-01,97497,68874,31561446505472,315614.465054720000,1349,1424,1797
2023-12-01,80812,57354,14933190022129,149331.900221290000,1493,1472,1884
2024-01-01,123024,85378,21394996485769,213949.964857690000,1805,1810,2244
2024-02-01,81000,56686,13470117985603,134701.179856030000,1694,1578,2057
2024-03-01,100412,72604,17740170224631,177401.702246310000,1794,1726,2221
2024-04-01,116402,81165,16937567979446,169375.679794460000,2463,2098,2953
2024-05-01,132071,93357,21096419503187,210964.195031870000,2137,2262,2793
2024-06-01,91120,63938,45525184883579,455251.848835790000,1686,2029,2470
2024-07-01,165362,117101,22862070133753,228620.701337530000,2038,1995,2553
2024-08-01,375890,269651,36982090394242,369820.903942420000,2926,2716,3477
2024-09-01,203365,124546,19114839888723,191148.398887230000,2270,2189,2756
2024-10-01,161376,94842,17941416099177,179414.160991770000,2090,2084,2594
2024-11-01,203356,136287,24245035208749,242450.352087490000,2547,2481,3143
2024-12-01,189382,129289,25608849520828,256088.495208280000,2759,2531,3304
2025-01-01,234879,157641,29319952996907,293199.529969070000,2906,2607,3517
2025-02-01,392496,257761,42202646587241,422026.465872410000,3321,3112,4169
2025-03-01,444983,291358,48046529798217,480465.297982170000,3235,3250,4103
2025-04-01,465522,278596,59474264677246,594742.646772460000,3460,3503,4381
2025-05-01,379021,225549,32736908325383,327369.083253830000,3713,4012,4828
2025-06-01,306373,178608,25583522976296,255835.229762960000,3322,3366,4234
2025-07-01,379318,208478,33845904445629,338459.044456290000,3958,3898,4961
2025-08-01,479658,261470,172241492724313,1722414.927243130000,3829,3905,4892
2025-09-01,386900,208562,181659291716413,1816592.917164130000,3660,3766,4764
2025-10-01,686278,363570,1128390218227632,11283902.182276320000,4794,4999,6155
2025-11-01,875606,420389,1579513477354672,15795134.773546720000,4549,4762,5885
2025-12-01,937959,403272,2609378557878853,26093785.578788530000,4744,4811,5713
2026-01-01,841697,381222,2352385121589184,23523851.215891840000,5965,6382,7499
2026-02-01,1207315,554044,1532284935838493,15322849.358384930000,8043,8635,9706
2026-03-01,1472990,529484,994632872337722,9946328.723377220000,6293,6559,7601
2026-04-01,3482288,344146,832316184823905,8323161.848239050000,5600,7035,8040
2026-05-01,614064,295539,1066235304747566,10662353.047475660000,5257,7062,8261
2026-06-01,692868,329308,1099159058755573,10991590.587555730000,6523,9271,10266
