month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2018-11-01,0.09049244000000000000,5,5,9,14
2019-01-01,29.7166687700000000,21,18,127,153
2019-02-01,27.7008357600000000,43,28,421,641
2019-03-01,116.5212113200000000,51,33,612,950
2019-04-01,191.4324752900000000,75,46,1203,2336
2019-05-01,632.0870459100000000,107,57,1893,3462
2019-06-01,573.9782918200000000,116,62,1929,4257
2019-07-01,1222.6906648600000000,168,83,3069,7401
2019-08-01,828.5149288400000000,190,93,2893,6363
2019-09-01,771.3718735600000000,182,70,1965,3709
2019-10-01,632.4729378600000000,199,92,1970,3895
2019-11-01,647.4300871400000000,184,63,1887,4375
2019-12-01,652.0108026800000000,170,68,1941,4390
2020-01-01,2774.5979245300000000,234,106,3785,9014
2020-02-01,6441.7906368400000000,302,159,5117,11784
2020-03-01,4077.4435076300000000,270,114,5710,10912
2020-04-01,2102.4866024400000000,335,203,3412,6048
2020-05-01,5224.9204373100000000,730,521,6125,11359
2020-06-01,50917.464048760000,1324,974,10565,19543
2020-07-01,96989.466817990000,1235,665,10050,20923
2020-08-01,67909.098787360000,1504,975,15488,30173
2020-09-01,226891.655969220000,1952,1258,25535,43398
2020-10-01,176701.820385930000,1959,1068,26055,43766
2020-11-01,137050.677275130000,2427,1187,37478,60650
2020-12-01,126747.171588570000,2676,1266,44777,71394
2021-01-01,194068.797439210000,2792,1208,79569,113757
2021-02-01,157684.786623250000,2327,859,69592,92217
2021-03-01,171644.852186910000,2339,928,44965,61907
2021-04-01,144294.470204710000,2369,853,47784,65998
2021-05-01,401531.058293660000,2686,881,74017,110582
2021-06-01,320672.193465590000,2679,1018,86685,133849
2021-07-01,271809.086350840000,2124,647,73152,112385
2021-08-01,218836.185380340000,1898,543,57692,87733
2021-09-01,214892.629851130000,1702,448,42698,62253
2021-10-01,233031.492444980000,1846,543,45130,63821
2021-11-01,193361.066253180000,1468,370,30791,44571
2021-12-01,192828.229596770000,1496,349,29692,43752
2022-01-01,257276.187389460000,1341,252,28688,42629
2022-02-01,194228.547034070000,1148,219,26648,39322
2022-03-01,177785.752720800000,1302,327,30556,45752
2022-04-01,158948.867510820000,1183,270,24005,35239
2022-05-01,460112.857293500000,1649,408,41985,61889
2022-06-01,785852.290195020000,1715,446,61054,86569
2022-07-01,365407.018034800000,1483,381,57894,85886
2022-08-01,280034.184490510000,1450,367,51579,75264
2022-09-01,267789.230686180000,1547,438,59827,89353
2022-10-01,232496.455495100000,1419,428,57049,75020
2022-11-01,581516.488939030000,2113,723,88046,125298
2022-12-01,141450.070983190000,1497,438,42895,61029
2023-01-01,180834.078896030000,1540,404,66914,94788
2023-02-01,129594.117127830000,1421,353,46772,64190
2023-03-01,374852.908721070000,2074,737,75716,105940
2023-04-01,213107.287983390000,1896,759,47276,64485
2023-05-01,71931.269167860000,1318,358,27407,37683
2023-06-01,159485.456902700000,1497,383,42105,59291
2023-07-01,96850.362207530000,1492,413,29277,42163
2023-08-01,98222.274165890000,1533,393,37949,54096
2023-09-01,119244.624476780000,1376,327,37500,49184
2023-10-01,545999.003799310000,2060,679,81643,123529
2023-11-01,315614.465054720000,1797,436,68874,97497
2023-12-01,149331.900221290000,1884,446,57354,80812
2024-01-01,213949.964857690000,2244,633,85378,123024
2024-02-01,134701.179856030000,2057,547,56686,81000
2024-03-01,177401.702246310000,2221,585,72604,100412
2024-04-01,169375.679794460000,2953,1232,81165,116402
2024-05-01,210964.195031870000,2793,718,93357,132071
2024-06-01,455251.848835790000,2470,780,63938,91120
2024-07-01,228620.701337530000,2553,718,117101,165362
2024-08-01,369820.903942420000,3477,1161,269651,375890
2024-09-01,191148.398887230000,2756,796,124546,203365
2024-10-01,179414.160991770000,2594,652,94842,161376
2024-11-01,242450.352087490000,3143,782,136287,203356
2024-12-01,256088.495208280000,3304,980,129289,189382
2025-01-01,293199.529969070000,3517,1165,157641,234879
2025-02-01,422026.465872410000,4169,1547,257761,392496
2025-03-01,480465.297982170000,4103,1310,291358,444983
2025-04-01,594742.646772460000,4381,1460,278596,465522
2025-05-01,327369.083253830000,4828,1530,225549,379021
2025-06-01,255835.229762960000,4234,1392,178608,306373
2025-07-01,338459.044456290000,4961,1620,208478,379318
2025-08-01,1722414.927243130000,4892,1736,261470,479658
2025-09-01,1816592.917164130000,4764,1711,208562,386900
2025-10-01,11283902.182276320000,6155,2440,363570,686278
2025-11-01,15795134.773546720000,5885,1954,420389,875606
2025-12-01,26093785.578788530000,5713,2386,403272,937959
2026-01-01,23523851.215891840000,7499,3787,381222,841697
2026-02-01,15322849.358384930000,9706,5426,554044,1207315
2026-03-01,9946328.723377220000,7601,3725,529484,1472990
2026-04-01,8323161.848239050000,8040,4302,344146,3482288
2026-05-01,10662353.047475660000,8261,4454,295539,614064
2026-06-01,10991590.587555730000,10266,6180,329308,692868
