month,size_bucket,transfer_count,bucket_volume
2018-11-01,<0.01,11,0.000492440000000000000000
2018-11-01,0.01-0.1,3,0.09000000000000000000
2019-01-01,<0.01,103,0.247739160000000000000000
2019-01-01,0.01-0.1,40,1.07664232000000000000
2019-01-01,0.1-1,8,3.39228729000000000000
2019-01-01,1-10,1,5.0000000000000000
2019-01-01,10-100,1,20.0000000000000000
2019-02-01,<0.01,326,0.810035030000000000000000
2019-02-01,0.01-0.1,236,6.32721144000000000000
2019-02-01,0.1-1,67,18.56756544000000000000
2019-02-01,1-10,1,1.99602385000000000000
2019-03-01,<0.01,464,0.7942842500000000000000000000
2019-03-01,0.01-0.1,216,7.79704549000000000000
2019-03-01,0.1-1,264,81.92988158000000000000
2019-03-01,1-10,4,5.00000000000000000000
2019-03-01,10-100,1,21.0000000000000000
2019-04-01,<0.01,1167,3.2684623900000000000000000000
2019-04-01,0.01-0.1,737,28.75686464000000000000
2019-04-01,0.1-1,408,97.81330708000000000000
2019-04-01,1-10,23,36.59384118000000000000
2019-04-01,10-100,1,25.0000000000000000
2019-05-01,<0.01,1256,5.337176170000000000000000
2019-05-01,0.01-0.1,1563,45.71248592000000000000
2019-05-01,0.1-1,504,176.76985768000000000000
2019-05-01,1-10,134,209.21202614000000000000
2019-05-01,10-100,5,195.0555000000000000
2019-06-01,<0.01,1261,4.4684344600000000000000000000
2019-06-01,0.01-0.1,1925,61.38858533000000000000
2019-06-01,0.1-1,960,286.58137225000000000000
2019-06-01,1-10,110,161.53989978000000000000
2019-06-01,10-100,1,60.0000000000000000
2019-07-01,<0.01,2067,7.4003915800000000000000000000
2019-07-01,0.01-0.1,3326,131.78018582000000000000
2019-07-01,0.1-1,1776,521.65074020000000000000
2019-07-01,1-10,229,441.85934726000000000000
2019-07-01,10-100,1,20.0000000000000000
2019-07-01,100-1000,1,100.0000000000000000
2019-08-01,<0.01,1974,6.1378666200000000000000000000
2019-08-01,0.01-0.1,2987,120.25378541000000000000
2019-08-01,0.1-1,1257,308.96420964000000000000
2019-08-01,1-10,143,393.15906717000000000000
2019-09-01,<0.01,933,3.1143284300000000000000000000
2019-09-01,0.01-0.1,1266,54.92647128000000000000
2019-09-01,0.1-1,1338,358.87716718000000000000
2019-09-01,1-10,169,324.45390667000000000000
2019-09-01,10-100,1,30.0000000000000000
2019-10-01,<0.01,1399,4.1691414000000000000000000000
2019-10-01,0.01-0.1,1415,62.33322966000000000000
2019-10-01,0.1-1,932,229.35922745000000000000
2019-10-01,1-10,141,261.61133935000000000000
2019-10-01,10-100,3,75.0000000000000000
2019-11-01,<0.01,1461,5.1372785500000000000000000000
2019-11-01,0.01-0.1,1786,75.24176596000000000000
2019-11-01,0.1-1,985,263.55881206000000000000
2019-11-01,1-10,133,249.49223057000000000000
2019-11-01,10-100,4,54.0000000000000000
2019-12-01,<0.01,1488,4.2352482200000000000000000000
2019-12-01,0.01-0.1,1850,79.27949391000000000000
2019-12-01,0.1-1,887,248.12011964000000000000
2019-12-01,1-10,164,320.37594091000000000000
2020-01-01,<0.01,3313,8.9889416900000000000000000000
2020-01-01,0.01-0.1,3623,155.74461576000000000000
2020-01-01,0.1-1,1624,458.40826073000000000000
2020-01-01,1-10,357,947.17425680000000000000
2020-01-01,10-100,92,1204.2818495500000000
2020-02-01,<0.01,3294,8.3880450800000000000000000000
2020-02-01,0.01-0.1,3907,176.73904513000000000000
2020-02-01,0.1-1,3700,1114.02160836000000000000
2020-02-01,1-10,694,1704.58794131000000000000
2020-02-01,10-100,181,3214.0539969600000000
2020-02-01,100-1000,2,224.0000000000000000
2020-03-01,<0.01,2248,6.505201450000000000000000
2020-03-01,0.01-0.1,4290,189.02194833000000000000
2020-03-01,0.1-1,3369,1221.19904891000000000000
2020-03-01,1-10,960,2207.27558417000000000000
2020-03-01,10-100,39,453.4417247700000000
2020-04-01,<0.01,1622,4.1216951800000000000000000000
2020-04-01,0.01-0.1,2632,109.20636903000000000000
