symbol,genius_aligned,metric,metric_label,pre_mean,post_mean,pct_change,pre_months,post_months,post_period,sub_cent_transfer_filter
USDT,False,token_volume,Transfer volume,219698869070.03354,378778169407.5454,72.40788312242157,6,6,Aug 2025-Jan 2026,False
USDT,False,transfer_count,Transfer-event count,149824996.0,301001865.1666667,100.90230148690722,6,6,Aug 2025-Jan 2026,True
USDT,False,active_addresses,Active addresses,13211221.0,18816402.2,42.42742741189478,6,5,Aug-Dec 2025,False
USDT,False,newly_adopted_addresses,First-time participants,8006754.666666667,10723713.4,33.93333312240032,6,5,Aug-Dec 2025,False
USDT,False,average_transfer_size,Average transfer size,1600.6844620003824,1242.8013392880914,-22.35813061276567,6,6,Aug 2025-Jan 2026,True
USDT,False,volume_per_active_address,Volume per active address,15480.521251648059,20351.21698838932,31.46338329029279,6,5,Aug-Dec 2025,False
USDT,False,transfers_per_active_address,Transfer events per active address,10.43013605870194,16.129875337878914,54.646835353807674,6,5,Aug-Dec 2025,True
USDC,True,token_volume,Transfer volume,27204313504.6909,32608069225.183533,19.863598908904102,6,6,Aug 2025-Jan 2026,False
USDC,True,transfer_count,Transfer-event count,18040600.166666668,42868612.666666664,137.6229852146179,6,6,Aug 2025-Jan 2026,True
USDC,True,active_addresses,Active addresses,666646.5,1131183.8,69.6827029017628,6,5,Aug-Dec 2025,False
USDC,True,newly_adopted_addresses,First-time participants,427252.8333333333,658206.0,54.05538562841596,6,5,Aug-Dec 2025,False
USDC,True,average_transfer_size,Average transfer size,2435.510643770464,779.9727495797264,-67.97498087003903,6,6,Aug 2025-Jan 2026,True
USDC,True,volume_per_active_address,Volume per active address,37416.39708084183,29317.721104662865,-21.64472426001085,6,5,Aug-Dec 2025,False
USDC,True,transfers_per_active_address,Transfer events per active address,22.891886122865188,38.20703159976679,66.90206912048336,6,5,Aug-Dec 2025,True
DAI,False,token_volume,Transfer volume,52665975.96370997,108838723.31111501,106.658514001737,6,6,Aug 2025-Jan 2026,False
DAI,False,transfer_count,Transfer-event count,96775.0,151187.83333333334,56.22612589339535,6,6,Aug 2025-Jan 2026,True
DAI,False,active_addresses,Active addresses,8366.333333333334,19191.6,129.39081238296342,6,5,Aug-Dec 2025,False
DAI,False,newly_adopted_addresses,First-time participants,4362.0,12014.8,175.44245758826227,6,5,Aug-Dec 2025,False
DAI,False,average_transfer_size,Average transfer size,540.8287216434254,733.5792550572929,35.63984782985512,6,6,Aug 2025-Jan 2026,True
DAI,False,volume_per_active_address,Volume per active address,6435.467203354606,6000.843589896217,-6.753567374748382,6,5,Aug-Dec 2025,False
DAI,False,transfers_per_active_address,Transfer events per active address,11.923635768047468,8.230516399996343,-30.97309780249925,6,5,Aug-Dec 2025,True
USDE,False,token_volume,Transfer volume,60216016.7932534,796446614.4078094,1222.6491169987903,5,6,Aug 2025-Jan 2026,False
USDE,False,transfer_count,Transfer-event count,4695.2,5579.333333333333,18.83057874708922,5,6,Aug 2025-Jan 2026,True
USDE,False,active_addresses,Active addresses,322.6,1264.0,291.8164910105393,5,5,Aug-Dec 2025,False
USDE,False,newly_adopted_addresses,First-time participants,278.2,974.4,250.25161754133717,5,5,Aug-Dec 2025,False
USDE,False,average_transfer_size,Average transfer size,11762.204563625677,158678.9515882594,1249.057914525395,4,6,Aug 2025-Jan 2026,True
USDE,False,volume_per_active_address,Volume per active address,106117.74419058612,892231.5301905235,740.7939096293708,5,5,Aug-Dec 2025,False
USDE,False,transfers_per_active_address,Transfer events per active address,7.897894819545027,4.623810048244595,-41.4551579390246,5,5,Aug-Dec 2025,True
USD1,True,token_volume,Transfer volume,15372644045.70462,12733859282.36235,-17.16545804024905,4,6,Aug 2025-Jan 2026,False
USD1,True,transfer_count,Transfer-event count,7047081.25,14337973.166666666,103.45973968537207,4,6,Aug 2025-Jan 2026,True
USD1,True,active_addresses,Active addresses,671844.0,457502.4,-31.903477593012664,4,5,Aug-Dec 2025,False
USD1,True,newly_adopted_addresses,First-time participants,665483.75,388345.4,-41.64464571824631,4,5,Aug-Dec 2025,False
USD1,True,average_transfer_size,Average transfer size,828050.7508841773,1005.2072134527672,-99.87860560329432,4,6,Aug 2025-Jan 2026,True
USD1,True,volume_per_active_address,Volume per active address,3442181.2850066293,31343.795941107535,-99.08942053465823,4,5,Aug-Dec 2025,False
USD1,True,transfers_per_active_address,Transfer events per active address,28.673549855959244,33.591806946280215,17.152592249748277,4,5,Aug-Dec 2025,True
