month,symbol,token_volume,transfer_count,active_addresses,newly_adopted_addresses,genius_qualifying_transfer_volume,average_transfer_size,volume_per_active_address,transfers_per_active_address
2018-11-01,BTC,0.09057724,16,6,6,0.09057724,0.0056610775,0.015096206666666667,2.6666666666666665
2019-01-01,BTC,83.83835667,368,138,135,83.83835667,0.22782162138586956,0.6075243236956521,2.6666666666666665
2019-02-01,BTC,103.82472194,1222,265,208,103.82472194,0.08496294757774141,0.39179140354716985,4.611320754716981
2019-03-01,BTC,267.40766674,1890,328,241,267.40766674,0.14148553795767196,0.8152672766463416,5.762195121951219
2019-04-01,BTC,399.83245679,3417,325,205,399.83245679,0.1170127178197249,1.2302537132,10.513846153846155
2019-05-01,BTC,1182.68010132,4916,429,244,1182.68010132,0.2405777260618389,2.756830073006993,11.459207459207459
2019-06-01,BTC,907.93057721,5949,477,270,907.93057721,0.1526190245772399,1.9034184008595387,12.471698113207546
2019-07-01,BTC,2455.53086733,10289,730,411,2455.53086733,0.2386559303460006,3.363740914150685,14.094520547945205
2019-08-01,BTC,1409.60941394,11187,753,412,1409.60941394,0.12600423830696345,1.871991253572377,14.856573705179283
2019-09-01,BTC,1771.29960955,7837,690,302,1771.29960955,0.22601755895750925,2.5671008834057973,11.357971014492753
2019-10-01,BTC,1426.87962841,8260,682,317,1426.87962841,0.17274571772518157,2.0921988686363635,12.111436950146627
2019-11-01,BTC,1562.79581133,8012,663,276,1562.79581133,0.19505689107963056,2.3571580864705886,12.08446455505279
2019-12-01,BTC,1484.27030605,7802,601,252,1484.27030605,0.19024228480517816,2.469667730532446,12.98169717138103
2020-01-01,BTC,4935.11289453,15191,845,397,4935.11289453,0.3248708376361003,5.840370289384615,17.97751479289941
2020-02-01,BTC,10175.58199485,20480,1193,636,10175.58199485,0.4968545895922851,8.529406533822296,17.16680637049455
2020-03-01,BTC,9467.47105794,20608,1284,697,9467.47105794,0.4594075629823369,7.3734198270560745,16.049844236760123
2020-04-01,BTC,62955.3988665,33209,1152,589,62955.3988665,1.8957330502725165,54.64878373828125,28.827256944444443
2020-05-01,BTC,58973.94146249,34472,2187,1406,58973.94146249,1.7107780651685427,26.96567968106539,15.762231367169639
2020-06-01,BTC,148643.70298494,40248,4417,3231,148643.70298494,3.69319476706768,33.652638212574146,9.112067013810279
2020-07-01,BTC,187879.50590295,39476,4031,2064,187879.50590295,4.7593349352252,46.608659365653686,9.793103448275861
2020-08-01,BTC,315748.60439961,58985,5483,3505,315748.60439961,5.353032201400526,57.586832828672264,10.757796826554806
2020-09-01,BTC,1118969.7275707764,121787,15518,12415,1118969.7275707764,9.187924224841538,72.10785717043281,7.848111870086352
2020-10-01,BTC,725682.9913497303,150023,19303,12375,725682.9913497303,4.837144913444807,37.594311316879775,7.772004351655183
2020-11-01,BTC,582847.3536834877,191484,25395,13948,582847.3536834877,3.0438436301909704,22.951264173399792,7.540224453632605
2020-12-01,BTC,525310.9065966284,220650,29192,16802,525310.9065966284,2.38074283524418,17.995029686099905,7.558577692518498
2021-01-01,BTC,924089.5232044476,374271,40468,25107,924089.5232044476,2.4690385394659153,22.83506778700325,9.24856676880498
2021-02-01,BTC,5527435.862439742,761905,60081,43028,5527435.862439742,7.254757302340505,91.99973140326796,12.681296915830297
2021-03-01,BTC,6713895.138127704,788914,78769,53557,6713895.138127704,8.510300410599513,85.23524658339835,10.015539108024731
2021-04-01,BTC,8909223.456891594,1719383,106203,68720,8909223.456891594,5.181639842252479,83.88862326762515,16.189589747935557
2021-05-01,BTC,3284985.916186899,1843762,110295,62104,3284985.916186899,1.7816756805850749,29.783634037688916,16.7166417335328
2021-06-01,BTC,1758961.8940423164,1039959,80861,42636,1758961.8940423164,1.69137619275598,21.752908003145105,12.861070231632059
2021-07-01,BTC,1340091.0949385636,1300450,92842,56534,1340091.0949385636,1.0304825982841044,14.434104122472196,14.007130393571876
2021-08-01,BTC,1369825.1118135052,1299028,121076,65587,1369825.1118135052,1.054500066059781,11.313762527780115,10.729029700353497
2021-09-01,BTC,1379649.385884339,1264606,116585,57621,1379649.385884339,1.0909717223264312,11.833849859624642,10.847072951065746
2021-10-01,BTC,1369344.7401707466,3425182,167062,99492,1369344.7401707466,0.3997874390822872,8.196626044047997,20.50246016448983
2021-11-01,BTC,1061108.2659360317,3435518,182755,105541,1061108.2659360317,0.3088641264391663,5.806179124708116,18.79848978140133
2021-12-01,BTC,1042412.706601014,1773807,155052,72690,1042412.706601014,0.5876697445669197,6.7229878144171895,11.440078167324511
2022-01-01,BTC,1242066.0358718252,1391766,155805,72174,1242066.0358718252,0.8924388409199716,7.971926676755079,8.932742851641475
2022-02-01,BTC,886129.5130047009,1020293,129971,50991,886129.5130047009,0.868504942212385,6.817901785819151,7.850158881596664
2022-03-01,BTC,860769.0259391428,1088682,146544,64454,860769.0259391428,0.7906523906330248,5.873792348640291,7.429045201441205
2022-04-01,BTC,856032.90737804,1047921,132162,56104,856032.90737804,0.816886871603909,6.47714855539444,7.929064330140283
2022-05-01,BTC,1867090.5116075028,1122565,134706,54078,1867090.5116075028,1.663235992220943,13.860485142514088,8.333444686947871
2022-06-01,BTC,2667689.3785919184,1023303,133468,53358,2667689.3785919184,2.606939859056329,19.987482981627945,7.66702880091108
2022-07-01,BTC,1441664.2226313548,917838,115098,40491,1441664.2226313548,1.5707175151076278,12.525536695957834,7.974404420580722
2022-08-01,BTC,895128.0605103902,1055432,115262,51507,895128.0605103902,0.8481153314570623,7.76602922481295,9.156807967933924
2022-09-01,BTC,1081522.6234094321,827587,112975,38312,1081522.6234094321,1.306838584232754,9.57311461305096,7.325399424651471
2022-10-01,BTC,673034.8800398186,579496,93537,36890,673034.8800398186,1.161414194472125,7.19538663886824,6.195366539444284
2022-11-01,BTC,1432148.5352052918,791156,126636,54699,1432148.5352052918,1.8101974012777402,11.309173814754823,6.247480969076724
2022-12-01,BTC,531552.8111821255,502828,98452,44389,531552.8111821255,1.0571265147965616,5.399106276989045,5.10734164872222
2023-01-01,BTC,453091.9129491645,558413,92415,40923,453091.9129491645,0.8113921290320327,4.902796223006703,6.042449818752367
2023-02-01,BTC,450112.92286413396,613630,89231,38402,450112.92286413396,0.7335249627041278,5.044355917384474,6.876870146025484
2023-03-01,BTC,870396.3275588294,875108,174080,61056,870396.3275588294,0.9946158960480643,4.999978903715702,5.027045036764706
2023-04-01,BTC,601666.6478951656,725802,99135,46527,601666.6478951656,0.828968021437204,6.069164754074399,7.321349674686034
2023-05-01,BTC,384260.2713064747,707571,98735,51338,384260.2713064747,0.5430695595303859,3.891834418458244,7.166364511064972
2023-06-01,BTC,492631.3780002644,757103,101554,48727,492631.3780002644,0.6506794689761689,4.8509303227865415,7.455176556314867
2023-07-01,BTC,374114.02896580484,631030,84167,38135,374114.02896580484,0.5928625088598083,4.44490155245886,7.497356446113085
2023-08-01,BTC,382064.60600243404,636941,82500,35388,382064.60600243404,0.5998430090109351,4.631086133362837,7.72049696969697
2023-09-01,BTC,299264.3380722711,648928,75883,35066,299264.3380722711,0.4611672451678323,3.9437599735417828,8.551691419685568
2023-10-01,BTC,811339.260867489,902238,89388,41464,811339.260867489,0.8992519278366562,9.076601566960766,10.09350248355484
2023-11-01,BTC,604923.5980361054,1138120,95587,43871,604923.5980361054,0.5315112624645076,6.328513271010759,11.906640024271082
2023-12-01,BTC,512640.09425218566,1387350,118956,58335,512640.09425218566,0.3695102852576391,4.309493377821932,11.662715625945728
2024-01-01,BTC,623039.6857934963,1388335,139042,69818,623039.6857934963,0.4487675422671735,4.480945942905715,9.98500453100502
2024-02-01,BTC,462884.17023439356,1292020,180019,114742,462884.17023439356,0.35826393572420984,2.5713073077530346,7.177131302806926
2024-03-01,BTC,587868.167551688,2095307,259887,166443,587868.167551688,0.2805642168673555,2.262014519970941,8.062377110051676
