symbol,genius_aligned,token_volume,token_volume_pre_mean,token_volume_post_mean,token_volume_pct_change,token_volume_pre_months,token_volume_post_months,transfer_count,transfer_count_pre_mean,transfer_count_post_mean,transfer_count_pct_change,transfer_count_pre_months,transfer_count_post_months,active_addresses,active_addresses_pre_mean,active_addresses_post_mean,active_addresses_pct_change,active_addresses_pre_months,active_addresses_post_months,newly_adopted_addresses,newly_adopted_addresses_pre_mean,newly_adopted_addresses_post_mean,newly_adopted_addresses_pct_change,newly_adopted_addresses_pre_months,newly_adopted_addresses_post_months,average_transfer_size,average_transfer_size_pre_mean,average_transfer_size_post_mean,average_transfer_size_pct_change,average_transfer_size_pre_months,average_transfer_size_post_months,volume_per_active_address,volume_per_active_address_pre_mean,volume_per_active_address_post_mean,volume_per_active_address_pct_change,volume_per_active_address_pre_months,volume_per_active_address_post_months,transfers_per_active_address,transfers_per_active_address_pre_mean,transfers_per_active_address_post_mean,transfers_per_active_address_pct_change,transfers_per_active_address_pre_months,transfers_per_active_address_post_months
USDT,False,141.78852158348022,280422800789.0604,678030144210.857,141.78852158348022,6,6,68.82121100759598,6812368.5,11500723.0,68.82121100759598,6,6,60.12863852833821,1728875.5,2768424.8,60.12863852833821,6,5,72.31719270232135,981983.5,1692126.4,72.31719270232135,6,5,43.88687856177722,41606.770986014635,59866.68404212364,43.88687856177722,6,6,58.79727826638861,164223.44529768382,260782.36140801347,58.79727826638861,6,5,1.936380480726152,3.94482279092044,4.0212095694430605,1.936380480726152,6,5
USDC,True,156.87764889673628,533062736200.288,1369319023895.9114,156.87764889673628,6,6,81.53288692837349,5686864.333333333,10323529.0,81.53288692837349,6,6,89.37682338987494,1030018.3333333334,1950616.0,89.37682338987494,6,5,95.99017085786605,581536.0,1139753.4,95.99017085786605,6,5,39.47029412578718,94639.4193281909,131993.8764959649,39.47029412578718,6,6,31.560193855233432,522412.7891727053,687287.2781601431,31.560193855233432,6,5,-4.293448090231545,5.521924848300919,5.284843871357522,-4.293448090231545,6,5
DAI,False,-65.52420240087504,184461910855.8467,63594715034.14002,-65.52420240087504,6,6,60.0951798500664,289417.0,463342.6666666667,60.0951798500664,6,6,78.45863672607022,41177.833333333336,73485.4,78.45863672607022,6,5,125.53105661242263,21815.0,49199.6,125.53105661242263,6,5,-77.61469400453726,632043.4950148588,141484.8703834935,-77.61469400453726,6,6,-79.39276455696628,4451589.401803789,917349.508986843,-79.39276455696628,6,5,-11.10366715335216,6.970961370048863,6.196929022129879,-11.10366715335216,6,5
FRAX,False,-52.6143169523199,559483521.682773,265115088.28859738,-52.6143169523199,6,6,42.67647673141577,24736.5,35293.166666666664,42.67647673141577,6,6,-29.69138645785352,1085.5,763.2,-29.69138645785352,6,5,-33.85300668151447,299.3333333333333,198.0,-33.85300668151447,6,5,-65.33047979760585,24084.6298374553,8350.025607168414,-65.33047979760585,6,6,-31.900311075207412,502169.3018135882,341975.7324108564,-31.900311075207412,6,5,74.19858874085914,22.47251777763297,39.14680882317531,74.19858874085914,6,5
PYUSD,True,284.0096093408971,2564043301.1829777,9846172664.204195,284.0096093408971,6,6,57.23486734954841,99057.33333333333,155752.66666666666,57.23486734954841,6,6,60.89096000513028,15593.666666666666,25088.8,60.89096000513028,6,5,64.38582072459278,12370.166666666666,20334.8,64.38582072459278,6,5,111.99811492820389,28641.247887519043,60718.905613454386,111.99811492820389,6,6,105.72164953933884,166803.31745270762,343150.53615005,105.72164953933884,6,5,-3.1096202101818293,6.130090428714733,5.939467897840998,-3.1096202101818293,6,5
USDS,False,93.70983139742751,26712363346.144566,51744474000.08486,93.70983139742751,6,6,102.19210446272572,47123.666666666664,95280.33333333333,102.19210446272572,6,6,46.703207835385044,3709.6666666666665,5442.2,46.703207835385044,6,5,-3.0383244854919833,2291.8333333333335,2222.2,-3.0383244854919833,6,5,-4.590996738633979,570579.8866209778,544384.5826349072,-4.590996738633979,6,6,24.55539191695435,7664493.131972351,9546539.458976211,24.55539191695435,6,5,30.541856187648687,13.277979798235014,17.333321292837,30.541856187648687,6,5
USDE,False,141.5569868530444,15633633796.981544,37764134735.627815,141.5569868530444,6,6,113.43490191394214,101857.83333333333,217400.16666666666,113.43490191394214,6,6,26.512143633921138,15632.333333333334,19776.8,26.512143633921138,6,5,16.223652998983383,7377.5,8574.4,16.223652998983383,6,5,-8.103554899871469,175298.58529792613,161093.16819961066,-8.103554899871469,6,6,62.28684152175927,1258461.238724559,2042316.9961016937,62.28684152175927,6,5,64.96105088627799,6.7324436557358505,11.10590980482841,64.96105088627799,6,5
USD1,True,3311.9486138564475,142590133.7034366,4865102090.390461,3311.9486138564475,4,6,81.36741146525985,56771.5,102965.0,81.36741146525985,4,6,-42.10008554319932,28056.0,16244.4,-42.10008554319932,4,5,-69.13636363636364,27720.0,8555.4,-69.13636363636364,4,5,-14.388579345429608,76180.03410031162,65218.80944841295,-14.388579345429608,4,6,8.532262843531967,275257.42497566895,298743.1119709308,8.532262843531967,4,5,24.247892936175464,6.007658377611724,7.4643889489861905,24.247892936175464,4,5
RLUSD,True,273.2360202677306,1120828794.129915,4183336785.2252903,273.2360202677306,6,6,299.24487238673095,5054.333333333333,20179.166666666668,299.24487238673095,6,6,191.60870208672486,1126.1666666666667,3284.0,191.60870208672486,6,5,126.93608247422681,808.3333333333334,1834.4,126.93608247422681,6,5,-1.5799528867723955,210927.0252091284,207594.47758535363,-1.5799528867723955,6,6,47.433376239598445,913634.2990715634,1347001.8936041961,47.433376239598445,6,5,51.28534200021164,4.221340931075553,6.386270064572569,51.28534200021164,6,5
EURC,False,121.19822590435044,595398068.6193682,1317009964.8548095,121.19822590435044,6,6,212.675747993189,13703.333333333334,42847.0,212.675747993189,6,6,131.87629817678283,2166.5,5023.6,131.87629817678283,6,5,119.77423121837289,1284.5,2823.0,119.77423121837289,6,5,-33.06040724514554,46412.16920598961,31068.11705518341,-33.06040724514554,6,6,-8.708422190369912,269817.1811841627,246320.36190449045,-8.708422190369912,6,5,26.243931919440634,6.0559893846902035,7.645319115856852,26.243931919440634,6,5
