asset,USDT,USDC,DAI,FRAX,PYUSD,USDS,USDE,USD1,RLUSD,EURC,BRZ,A7A5,ETH,WBTC
USDT,100,41,20,5,9,10,20,16,12,12,3,1,23,28
USDC,41,100,22,5,13,10,16,12,12,14,2,1,16,33
DAI,20,22,100,12,7,11,12,6,8,7,1,2,2,18
FRAX,5,5,12,100,5,8,12,3,5,5,1,1,0,9
PYUSD,9,13,7,5,100,20,15,9,21,10,1,0,4,5
USDS,10,10,11,8,20,100,25,7,19,12,1,2,1,6
USDE,20,16,12,12,15,25,100,15,17,11,3,1,7,12
USD1,16,12,6,3,9,7,15,100,13,8,2,1,11,9
RLUSD,12,12,8,5,21,19,17,13,100,12,2,0,7,7
EURC,12,14,7,5,10,12,11,8,12,100,1,1,4,8
BRZ,3,2,1,1,1,1,3,2,2,1,100,0,1,1
A7A5,1,1,2,1,0,2,1,1,0,1,0,100,0,1
ETH,23,16,2,0,4,1,7,11,7,4,1,0,100,7
WBTC,28,33,18,9,5,6,12,9,7,8,1,1,7,100
